Tinh thanh,Ca nhiem,Tu vong,Ca mac moi
b'C\xe1\xba\xa3 n\xc6\xb0\xe1\xbb\x9bc',"904,655","22,009","11,386"
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',"464,510","17,857","1,454"
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',"280,908","2,683",705
b'\xc4\x90\xe1\xbb\x93ng Nai',"86,218",696,553
b'Long An',"38,008",619,101
b'T\xc3\xa2y Ninh',"32,933",256,692
b'Ti\xe1\xbb\x81n Giang',"24,013",522,155
b'An Giang',"22,497",351,215
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',"19,871",268,592
b'Ki\xc3\xaan Giang',"19,319",213,439
b'C\xe1\xba\xa7n Th\xc6\xa1',"15,866",208,966
b'B\xc3\xacnh Thu\xe1\xba\xadn',"15,462",121,598
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',"13,628",63,531
b'S\xc3\xb3c Tr\xc4\x83ng',"13,536",98,491
b'Kh\xc3\xa1nh H\xc3\xb2a',"12,857",100,258
b'B\xe1\xba\xa1c Li\xc3\xaau',"12,856",121,512
b'V\xc4\xa9nh Long',"10,224",80,545
b'H\xc3\xa0 N\xe1\xbb\x99i',"9,941",43,277
b'C\xc3\xa0 Mau',"8,418",39,387
b'Tr\xc3\xa0 Vinh',"7,303",38,0
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',"7,166",42,75
b'B\xe1\xba\xbfn Tre',"7,087",64,522
b'B\xe1\xba\xafc Giang',"6,999",14,11
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',"6,703",20,591
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',"6,407",105,66
b'H\xe1\xba\xadu Giang',"4,661",12,294
b'B\xe1\xba\xafc Ninh',"4,540",16,185
b'Ngh\xe1\xbb\x87 An',"4,226",27,124
b'H\xc3\xa0 Giang',"3,857",4,165
b'B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh',"3,661",20,197
b'Ninh Thu\xe1\xba\xadn',"3,635",45,46
b'Ph\xc3\xba Y\xc3\xaan',"3,626",39,36
b'Gia Lai',"3,079",8,109
b'Th\xe1\xbb\xaba Thi\xc3\xaan Hu\xe1\xba\xbf',"2,974",11,106
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',"2,637",14,56
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',"2,637",14,56
b'Qu\xe1\xba\xa3ng B\xc3\xacnh',"2,461",6,27
b'Thanh H\xc3\xb3a',"2,244",11,55
b'\xc4\x90\xe1\xba\xafk N\xc3\xb4ng',"2,185",8,85
b'L\xc3\xa2m \xc4\x90\xe1\xbb\x93ng',"2,119",7,159
b'Ph\xc3\xba Th\xe1\xbb\x8d',"1,799",0,33
b'H\xe1\xba\xa3i D\xc6\xb0\xc6\xa1ng',"1,496",1,39
b'H\xc3\xa0 Nam',"1,437",0,2
b'Nam \xc4\x90\xe1\xbb\x8bnh',"1,368",0,29
b'Th\xc3\xa1i B\xc3\xacnh',"1,249",0,32
b'V\xc4\xa9nh Ph\xc3\xbac',"1,092",3,104
b'H\xc3\xa0 T\xc4\xa9nh',969,5,8
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',934,3,24
b'H\xc6\xb0ng Y\xc3\xaan',756,2,22
b'Qu\xe1\xba\xa3ng Ninh',738,0,15
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',449,0,9
b'Tuy\xc3\xaan Quang',442,0,29
b'L\xe1\xba\xa1ng S\xc6\xa1n',425,2,28
b'Kon Tum',382,0,2
b'S\xc6\xa1n La',365,0,4
b'Ninh B\xc3\xacnh',327,0,0
b'Ho\xc3\xa0 B\xc3\xacnh',316,0,60
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',257,0,22
b'Th\xc3\xa1i Nguy\xc3\xaan',209,0,54
b'L\xc3\xa0o Cai',175,0,1
b'Cao B\xe1\xba\xb1ng',120,0,10
b'Y\xc3\xaan B\xc3\xa1i',41,0,3
b'Lai Ch\xc3\xa2u',37,0,0
b'B\xe1\xba\xafc K\xe1\xba\xa1n',18,0,4
