province_name,at_least_one_dose,2_doses
Hà Nội,"6,562,507","5,543,051"
Hồ Chí Minh,"8,002,293","6,678,298"
Thanh Hóa,"1,962,215","728,252"
Nghệ An,"2,024,983","1,393,635"
Đồng Nai,"2,763,659","2,215,271"
Bình Dương,"2,439,936","1,764,992"
An Giang,"1,470,652","1,211,568"
Hải Dương,"1,108,595","618,421"
Đắk Lắk,"1,214,401","510,116"
Thái Bình,"1,104,097","534,102"
Hải Phòng,"1,668,072","1,254,897"
Bắc Giang,"1,264,975","782,769"
Nam Định,"1,102,097","523,051"
Tiền Giang,"1,435,654","1,100,981"
Kiên Giang,"1,277,803","884,235"
Long An,"1,584,732","1,414,924"
Đồng Tháp,"1,086,790","760,156"
Gia Lai,"843,206","431,582"
Quảng Nam,"1,010,819","327,748"
Bình Định,"912,435","490,999"
Phú Thọ,"970,732","673,605"
Bắc Ninh,"1,144,309","811,512"
Quảng Ninh,"1,090,998","916,791"
Lâm Đồng,"964,997","815,113"
Hà Tĩnh,"773,484","417,981"
Bến Tre,"996,802","672,912"
Thái Nguyên,"759,319","392,532"
Hưng Yên,"826,158","587,415"
Sơn La,"625,745","217,999"
Cần Thơ,"1,000,926","804,289"
Quảng Ngãi,"795,729","488,279"
Khánh Hòa,"1,040,140","896,242"
Bình Thuận,"870,658","573,187"
Sóc Trăng,"915,786","673,918"
Cà Mau,"861,148","795,176"
Tây Ninh,"940,633","752,640"
Vĩnh Phúc,"769,728","482,355"
Bà Rịa - Vũng Tàu,"1,002,283","808,156"
Đà Nẵng,"954,062","712,475"
Thừa Thiên Huế,"777,725","416,967"
Vĩnh Long,"842,925","678,519"
Trà Vinh,"766,419","423,462"
Bình Phước,"821,685","574,077"
Ninh Bình,"619,250","469,368"
Phú Yên,"590,316","402,138"
Bạc Liêu,"643,473","426,630"
Quảng Bình,"526,071","252,304"
Hà Giang,"469,251","230,128"
Hoà Bình,"516,559","375,841"
Hà Nam,"638,956","539,604"
Yên Bái,"494,070","454,597"
Tuyên Quang,"469,348","201,330"
Lạng Sơn,"544,497","463,610"
Hậu Giang,"603,788","497,514"
Lào Cai,"492,334","392,606"
Quảng Trị,"414,139","315,997"
Đắk Nông,"415,415","323,245"
Điện Biên,"348,876","224,255"
Ninh Thuận,"465,586","343,118"
Kon Tum,"326,413","221,481"
Cao Bằng,"317,017","197,898"
Lai Châu,"282,370","222,994"
Bắc Kạn,"195,671","119,057"
