province_name,at_least_one_dose,2_doses
Hà Nội,"6,140,524","5,355,815"
Hồ Chí Minh,"7,901,749","6,033,488"
Thanh Hóa,"1,395,704","599,857"
Nghệ An,"1,494,847","742,588"
Đồng Nai,"2,675,122","2,191,378"
Bình Dương,"2,372,712","1,747,763"
An Giang,"1,381,891","988,689"
Hải Dương,"1,029,621","529,794"
Đắk Lắk,"1,202,759","170,959"
Thái Bình,"1,045,516","218,172"
Hải Phòng,"1,655,501","554,901"
Bắc Giang,"1,079,276","663,349"
Nam Định,"819,467","227,678"
Tiền Giang,"1,315,866","906,933"
Kiên Giang,"1,239,976","727,862"
Long An,"1,493,088","1,395,345"
Đồng Tháp,"1,154,479","699,163"
Gia Lai,"814,429","166,598"
Quảng Nam,"985,173","234,533"
Bình Định,"824,455","350,090"
Phú Thọ,"878,450","319,286"
Bắc Ninh,"1,087,947","747,936"
Quảng Ninh,"1,090,998","916,791"
Lâm Đồng,"938,721","740,436"
Hà Tĩnh,"727,956","275,581"
Bến Tre,"955,740","508,025"
Thái Nguyên,"726,511","171,786"
Hưng Yên,"822,804","448,568"
Sơn La,"457,662","130,204"
Cần Thơ,"899,878","539,426"
Quảng Ngãi,"791,830","157,424"
Khánh Hòa,"976,913","882,459"
Bình Thuận,"823,689","300,012"
Sóc Trăng,"805,184","598,993"
Cà Mau,"857,947","598,852"
Tây Ninh,"927,828","648,611"
Vĩnh Phúc,"758,378","339,784"
Bà Rịa - Vũng Tàu,"994,775","684,488"
Đà Nẵng,"913,542","589,642"
Thừa Thiên Huế,"681,908","174,888"
Vĩnh Long,"838,610","555,882"
Trà Vinh,"604,948","395,560"
Bình Phước,"736,360","488,476"
Ninh Bình,"619,250","450,477"
Phú Yên,"585,807","304,305"
Bạc Liêu,"627,604","368,437"
Quảng Bình,"498,019","154,174"
Hà Giang,"441,241","134,938"
Hoà Bình,"509,870","289,357"
Hà Nam,"597,377","527,410"
Yên Bái,"492,360","391,573"
Tuyên Quang,"436,419","135,062"
Lạng Sơn,"509,277","458,424"
Hậu Giang,"604,253","277,804"
Lào Cai,"434,780","236,289"
Quảng Trị,"411,562","191,874"
Đắk Nông,"395,488","154,248"
Điện Biên,"297,308","90,078"
Ninh Thuận,"420,800","247,619"
Kon Tum,"302,051","90,965"
Cao Bằng,"263,400","156,920"
Lai Châu,"247,978","194,877"
Bắc Kạn,"190,632","86,350"
