province_name,at_least_one_dose,2_doses
Hà Nội,"6,129,120","5,260,463"
Hồ Chí Minh,"7,891,812","5,980,854"
Thanh Hóa,"1,319,498","566,846"
Nghệ An,"1,494,847","547,790"
Đồng Nai,"2,657,137","2,155,999"
Bình Dương,"2,371,862","1,712,573"
An Giang,"1,324,027","922,264"
Hải Dương,"1,029,621","529,794"
Đắk Lắk,"1,186,507","133,215"
Thái Bình,"1,006,504","178,174"
Hải Phòng,"1,655,487","569,120"
Bắc Giang,"1,049,441","567,409"
Nam Định,"804,027","213,081"
Tiền Giang,"1,290,296","710,119"
Kiên Giang,"1,239,976","727,862"
Long An,"1,478,099","1,393,631"
Đồng Tháp,"1,154,479","699,163"
Gia Lai,"771,515","124,397"
Quảng Nam,"979,160","222,803"
Bình Định,"800,018","323,240"
Phú Thọ,"876,986","237,937"
Bắc Ninh,"1,085,422","658,212"
Quảng Ninh,"1,090,998","916,791"
Lâm Đồng,"936,888","576,881"
Hà Tĩnh,"725,306","272,991"
Bến Tre,"924,821","458,190"
Thái Nguyên,"676,295","120,997"
Hưng Yên,"822,804","372,717"
Sơn La,"415,593","116,726"
Cần Thơ,"896,941","344,685"
Quảng Ngãi,"790,601","146,565"
Khánh Hòa,"971,627","872,005"
Bình Thuận,"791,513","251,412"
Sóc Trăng,"804,468","569,379"
Cà Mau,"854,644","363,626"
Tây Ninh,"922,790","568,950"
Vĩnh Phúc,"757,835","302,051"
Bà Rịa - Vũng Tàu,"991,154","576,765"
Đà Nẵng,"895,304","543,699"
Thừa Thiên Huế,"672,394","142,956"
Vĩnh Long,"836,725","459,121"
Trà Vinh,"505,062","304,125"
Bình Phước,"733,471","473,116"
Ninh Bình,"619,250","450,477"
Phú Yên,"582,567","272,808"
Bạc Liêu,"554,718","358,829"
Quảng Bình,"496,554","115,886"
Hà Giang,"426,890","99,446"
Hoà Bình,"449,327","191,224"
Hà Nam,"577,086","514,500"
Yên Bái,"491,490","339,772"
Tuyên Quang,"425,084","75,270"
Lạng Sơn,"508,530","444,466"
Hậu Giang,"599,369","91,799"
Lào Cai,"428,991","188,238"
Quảng Trị,"408,600","160,270"
Đắk Nông,"395,488","143,947"
Điện Biên,"299,362","91,136"
Ninh Thuận,"419,345","188,347"
Kon Tum,"299,283","68,406"
Cao Bằng,"247,465","152,860"
Lai Châu,"247,122","124,516"
Bắc Kạn,"182,081","64,235"
