Tinh thanh,Ca nhiem,Dang dieu tri,Hoi phuc,Tu vong
b'63/63 ',1065338,122998,880663,23077
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',444531,36393,390979,17159
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',288369,9446,236377,2546
b'\xc4\x90\xe1\xbb\x93ng Nai',78107,15030,63583,594
b'Long An',36508,2183,33880,525
b'Ti\xe1\xbb\x81n Giang',20155,3817,16104,434
b'An Giang',17464,6609,10477,188
b'T\xc3\xa2y Ninh',16024,3887,11948,189
b'Ki\xc3\xaan Giang',14431,3658,10662,131
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',13364,3364,9769,231
b'Kh\xc3\xa1nh H\xc3\xb2a',10408,1495,8820,93
b'C\xe1\xba\xa7n Th\xc6\xa1',9306,1555,7605,146
b'B\xc3\xacnh Thu\xe1\xba\xadn',8589,3450,5360,79
b'S\xc3\xb3c Tr\xc4\x83ng',7828,1745,6024,59
b'B\xe1\xba\xa1c Li\xc3\xaau',6918,3781,3069,68
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',6714,1358,5201,55
b'B\xe1\xba\xafc Giang',6523,537,5973,13
b'H\xc3\xa0 N\xe1\xbb\x99i',6489,2711,3737,41
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',5825,2777,3013,35
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',5723,103,5515,105
b'V\xc4\xa9nh Long',4727,1976,2699,52
b'C\xc3\xa0 Mau',4372,2322,2033,17
b'Tr\xc3\xa0 Vinh',4122,1754,2342,26
b'B\xe1\xba\xbfn Tre',3371,1009,2308,54
b'Ph\xc3\xba Y\xc3\xaan',3308,141,3128,39
b'Ninh Thu\xe1\xba\xadn',3082,916,2128,38
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',3043,1229,1798,16
b'Ngh\xe1\xbb\x87 An',3041,572,2447,22
b'B\xe1\xba\xafc Ninh',2797,429,2353,15
b'Gia Lai',2355,1095,1255,5
b'B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh',2297,530,1748,19
b'H\xc3\xa0 Giang',2234,977,1255,2
b'H\xe1\xba\xadu Giang',2113,734,1372,7
b'Qu\xe1\xba\xa3ng B\xc3\xacnh',2107,90,2011,6
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',2022,443,1558,11
b'Qu\xe1\xba\xa3ng Nam',1872,334,1526,12
b'Th\xe1\xbb\xaba Thi\xc3\xaan \xe2\x80\x93 Hu\xe1\xba\xbf',1671,558,1102,11
b'Thanh H\xc3\xb3a',1572,594,970,8
b'Ph\xc3\xba Th\xe1\xbb\x8d',1471,769,702,0
b'\xc4\x90\xe1\xba\xafk N\xc3\xb4ng',1407,466,933,8
b'H\xc3\xa0 Nam',1221,304,917,0
b'H\xe1\xba\xa3i D\xc6\xb0\xc6\xa1ng',1147,118,1028,1
b'L\xc3\xa2m \xc4\x90\xe1\xbb\x93ng',872,358,510,4
b'Nam \xc4\x90\xe1\xbb\x8bnh',741,97,644,0
b'H\xc3\xa0 T\xc4\xa9nh',713,153,555,5
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',630,120,508,2
b'H\xc6\xb0ng Y\xc3\xaan',560,101,457,2
b'Th\xc3\xa1i B\xc3\xacnh',454,266,188,0
b'V\xc4\xa9nh Ph\xc3\xbac',358,108,247,3
b'Qu\xe1\xba\xa3ng Ninh',351,125,226,0
b'Kon Tum',336,110,226,0
b'S\xc6\xa1n La',327,36,291,0
b'L\xe1\xba\xa1ng S\xc6\xa1n',285,14,270,1
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',242,115,127,0
b'Ninh B\xc3\xacnh',237,16,221,0
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',152,34,118,0
b'L\xc3\xa0o Cai',147,14,133,0
b'Th\xc3\xa1i Nguy\xc3\xaan',92,14,78,0
b'Tuy\xc3\xaan Quang',73,33,40,0
b'H\xc3\xb2a B\xc3\xacnh',57,2,55,0
b'Lai Ch\xc3\xa2u',36,5,31,0
b'Y\xc3\xaan B\xc3\xa1i',25,6,19,0
b'Cao B\xe1\xba\xb1ng',11,11,0,0
b'B\xe1\xba\xafc K\xe1\xba\xa1n',11,1,10,0
