province_name,at_least_one_dose,2_doses
Hà Nội,"6,481,098","5,513,909"
Hồ Chí Minh,"7,927,934","6,547,118"
Thanh Hóa,"1,833,345","728,252"
Nghệ An,"1,639,039","1,381,767"
Đồng Nai,"2,743,186","2,213,471"
Bình Dương,"2,372,712","1,747,763"
An Giang,"1,454,873","1,204,201"
Hải Dương,"1,045,829","542,417"
Đắk Lắk,"1,214,307","483,365"
Thái Bình,"1,085,759","487,245"
Hải Phòng,"1,682,936","805,586"
Bắc Giang,"1,209,755","820,609"
Nam Định,"1,095,718","487,556"
Tiền Giang,"1,425,165","1,038,164"
Kiên Giang,"1,257,099","884,235"
Long An,"1,563,103","1,407,364"
Đồng Tháp,"1,169,450","760,156"
Gia Lai,"827,024","324,322"
Quảng Nam,"1,001,205","315,663"
Bình Định,"900,391","448,900"
Phú Thọ,"945,422","621,096"
Bắc Ninh,"1,138,335","796,372"
Quảng Ninh,"1,090,998","916,791"
Lâm Đồng,"964,997","815,113"
Hà Tĩnh,"737,560","389,773"
Bến Tre,"968,073","653,114"
Thái Nguyên,"742,447","364,670"
Hưng Yên,"826,158","572,377"
Sơn La,"575,733","181,503"
Cần Thơ,"989,615","798,312"
Quảng Ngãi,"795,538","409,777"
Khánh Hòa,"1,022,195","892,225"
Bình Thuận,"858,706","528,301"
Sóc Trăng,"899,020","642,604"
Cà Mau,"858,847","678,502"
Tây Ninh,"939,845","746,878"
Vĩnh Phúc,"769,728","482,355"
Bà Rịa - Vũng Tàu,"1,000,756","804,072"
Đà Nẵng,"950,243","704,067"
Thừa Thiên Huế,"743,112","399,400"
Vĩnh Long,"842,013","651,791"
Trà Vinh,"625,890","388,028"
Bình Phước,"772,426","567,735"
Ninh Bình,"619,250","469,368"
Phú Yên,"587,630","371,092"
Bạc Liêu,"642,904","394,588"
Quảng Bình,"514,359","222,261"
Hà Giang,"469,251","230,128"
Hoà Bình,"516,559","375,841"
Hà Nam,"638,956","539,604"
Yên Bái,"494,070","454,597"
Tuyên Quang,"469,348","201,330"
Lạng Sơn,"542,930","462,097"
Hậu Giang,"603,788","455,867"
Lào Cai,"486,473","390,535"
Quảng Trị,"413,392","292,999"
Đắk Nông,"396,242","303,651"
Điện Biên,"319,045","132,719"
Ninh Thuận,"448,689","338,702"
Kon Tum,"305,641","199,976"
Cao Bằng,"308,073","188,618"
Lai Châu,"272,933","222,945"
Bắc Kạn,"193,738","109,586"
