province_name,at_least_one_dose,2_doses
Hà Nội,"6,392,604","5,472,811"
Hồ Chí Minh,"7,919,162","6,401,698"
Thanh Hóa,"1,726,216","751,295"
Nghệ An,"1,623,802","1,375,795"
Đồng Nai,"2,728,352","2,203,694"
Bình Dương,"2,372,712","1,747,763"
An Giang,"1,446,376","1,192,349"
Hải Dương,"1,045,829","542,417"
Đắk Lắk,"1,213,056","418,995"
Thái Bình,"1,084,716","372,959"
Hải Phòng,"1,678,969","771,966"
Bắc Giang,"1,209,755","820,609"
Nam Định,"1,057,798","407,154"
Tiền Giang,"1,414,040","982,527"
Kiên Giang,"1,246,790","795,045"
Long An,"1,534,550","1,405,522"
Đồng Tháp,"1,154,479","699,163"
Gia Lai,"827,024","324,322"
Quảng Nam,"995,173","285,127"
Bình Định,"863,728","402,999"
Phú Thọ,"923,257","612,768"
Bắc Ninh,"1,111,832","793,570"
Quảng Ninh,"1,090,998","916,791"
Lâm Đồng,"964,997","815,113"
Hà Tĩnh,"733,463","373,499"
Bến Tre,"967,801","644,512"
Thái Nguyên,"742,447","333,978"
Hưng Yên,"826,158","572,377"
Sơn La,"521,918","155,169"
Cần Thơ,"934,346","770,894"
Quảng Ngãi,"793,722","349,079"
Khánh Hòa,"979,428","891,034"
Bình Thuận,"839,523","448,274"
Sóc Trăng,"864,327","642,604"
Cà Mau,"858,847","678,502"
Tây Ninh,"938,001","735,090"
Vĩnh Phúc,"769,728","482,355"
Bà Rịa - Vũng Tàu,"999,748","801,520"
Đà Nẵng,"933,615","679,202"
Thừa Thiên Huế,"732,883","343,892"
Vĩnh Long,"840,718","595,864"
Trà Vinh,"625,890","388,028"
Bình Phước,"771,568","528,993"
Ninh Bình,"619,250","450,477"
Phú Yên,"587,630","371,092"
Bạc Liêu,"641,446","380,179"
Quảng Bình,"503,487","182,692"
Hà Giang,"450,166","175,089"
Hoà Bình,"516,559","375,841"
Hà Nam,"638,956","539,384"
Yên Bái,"493,348","438,395"
Tuyên Quang,"436,419","135,062"
Lạng Sơn,"540,466","461,215"
Hậu Giang,"603,788","397,315"
Lào Cai,"475,248","369,591"
Quảng Trị,"412,271","261,793"
Đắk Nông,"396,210","289,137"
Điện Biên,"319,045","132,719"
Ninh Thuận,"428,142","332,783"
Kon Tum,"304,341","165,730"
Cao Bằng,"289,412","171,239"
Lai Châu,"268,960","222,459"
Bắc Kạn,"193,489","105,530"
