province_name,at_least_one_dose,2_doses
Hà Nội,"6,138,422","5,340,429"
Hồ Chí Minh,"7,895,799","6,013,801"
Thanh Hóa,"1,395,704","599,857"
Nghệ An,"1,494,847","742,588"
Đồng Nai,"2,667,116","2,187,730"
Bình Dương,"2,372,712","1,747,763"
An Giang,"1,362,295","974,634"
Hải Dương,"1,029,621","529,794"
Đắk Lắk,"1,192,450","152,949"
Thái Bình,"1,034,171","186,280"
Hải Phòng,"1,655,501","554,901"
Bắc Giang,"1,079,276","663,349"
Nam Định,"819,467","227,678"
Tiền Giang,"1,304,741","855,783"
Kiên Giang,"1,239,976","727,862"
Long An,"1,478,330","1,393,997"
Đồng Tháp,"1,154,479","699,163"
Gia Lai,"814,429","166,598"
Quảng Nam,"985,173","234,533"
Bình Định,"814,183","341,218"
Phú Thọ,"878,450","319,286"
Bắc Ninh,"1,087,218","731,255"
Quảng Ninh,"1,090,998","916,791"
Lâm Đồng,"937,818","711,626"
Hà Tĩnh,"726,786","275,101"
Bến Tre,"946,003","494,547"
Thái Nguyên,"726,511","171,786"
Hưng Yên,"822,804","448,568"
Sơn La,"450,020","127,289"
Cần Thơ,"898,929","439,220"
Quảng Ngãi,"791,822","154,791"
Khánh Hòa,"975,597","874,994"
Bình Thuận,"811,953","271,995"
Sóc Trăng,"805,184","598,993"
Cà Mau,"854,644","363,626"
Tây Ninh,"926,453","626,373"
Vĩnh Phúc,"758,378","339,784"
Bà Rịa - Vũng Tàu,"992,357","618,446"
Đà Nẵng,"895,304","589,642"
Thừa Thiên Huế,"678,617","164,856"
Vĩnh Long,"838,610","555,882"
Trà Vinh,"602,284","394,970"
Bình Phước,"736,125","487,369"
Ninh Bình,"619,250","450,477"
Phú Yên,"584,551","287,240"
Bạc Liêu,"597,327","366,902"
Quảng Bình,"497,956","146,854"
Hà Giang,"437,309","131,154"
Hoà Bình,"509,870","289,357"
Hà Nam,"597,377","527,410"
Yên Bái,"492,360","391,573"
Tuyên Quang,"425,084","75,270"
Lạng Sơn,"508,899","453,880"
Hậu Giang,"599,369","91,799"
Lào Cai,"433,940","219,190"
Quảng Trị,"411,399","183,564"
Đắk Nông,"395,488","154,248"
Điện Biên,"297,308","90,078"
Ninh Thuận,"420,563","218,498"
Kon Tum,"301,670","82,984"
Cao Bằng,"261,320","156,542"
Lai Châu,"247,506","166,042"
Bắc Kạn,"182,081","64,235"
