Tinh thanh,Ca nhiem,Dang dieu tri,Hoi phuc,Tu vong
b'63 ',1032080,150944,860576,22760
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',439733,34344,388370,17019
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',285846,48998,234326,2522
b'\xc4\x90\xe1\xbb\x93ng Nai',74947,14601,60763,583
b'Long An',36094,1711,33880,513
b'Ti\xe1\xbb\x81n Giang',18674,2774,15494,416
b'An Giang',14966,5057,9740,169
b'T\xc3\xa2y Ninh',13926,2325,11430,171
b'Ki\xc3\xaan Giang',13174,3751,9307,116
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',11770,2167,9387,226
b'Kh\xc3\xa1nh H\xc3\xb2a',9692,861,8738,93
b'C\xe1\xba\xa7n Th\xc6\xa1',8846,1926,6783,137
b'B\xc3\xacnh Thu\xe1\xba\xadn',7631,2837,4924,70
b'S\xc3\xb3c Tr\xc4\x83ng',6935,1906,4963,56
b'B\xe1\xba\xafc Giang',6376,426,5937,13
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',6024,934,5036,54
b'H\xc3\xa0 N\xe1\xbb\x99i',5919,2194,3685,40
b'B\xe1\xba\xa1c Li\xc3\xaau',5914,4982,1877,55
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',5632,132,5395,105
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',5309,2556,2723,30
b'V\xc4\xa9nh Long',3704,1044,2611,49
b'Tr\xc3\xa0 Vinh',3662,1488,2149,25
b'C\xc3\xa0 Mau',3419,1733,1670,16
b'Ph\xc3\xba Y\xc3\xaan',3251,92,3120,39
b'B\xe1\xba\xbfn Tre',3026,800,2173,53
b'Ninh Thu\xe1\xba\xadn',2924,821,2067,36
b'Ngh\xe1\xbb\x87 An',2818,453,2345,20
b'B\xe1\xba\xafc Ninh',2613,745,1853,15
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',2454,765,1673,16
b'Gia Lai',2218,1248,965,5
b'B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh',2029,411,1600,18
b'Qu\xe1\xba\xa3ng B\xc3\xacnh',2021,26,1989,6
b'H\xc3\xa0 Giang',1962,1626,336,0
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',1873,353,1509,11
b'H\xe1\xba\xadu Giang',1808,683,1118,7
b'Qu\xe1\xba\xa3ng Nam',1730,295,1423,12
b'Th\xe1\xbb\xaba Thi\xc3\xaan \xe2\x80\x93 Hu\xe1\xba\xbf',1418,375,1032,11
b'Thanh H\xc3\xb3a',1409,552,850,7
b'Ph\xc3\xba Th\xe1\xbb\x8d',1270,821,449,0
b'\xc4\x90\xe1\xba\xafk N\xc3\xb4ng',1196,278,910,8
b'H\xc3\xa0 Nam',1182,465,717,0
b'H\xe1\xba\xa3i D\xc6\xb0\xc6\xa1ng',1070,76,993,1
b'L\xc3\xa2m \xc4\x90\xe1\xbb\x93ng',703,245,454,4
b'H\xc3\xa0 T\xc4\xa9nh',661,101,545,5
b'Nam \xc4\x90\xe1\xbb\x8bnh',588,194,394,0
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',533,82,449,2
b'H\xc6\xb0ng Y\xc3\xaan',521,122,397,2
b'V\xc4\xa9nh Ph\xc3\xbac',345,97,245,3
b'Kon Tum',328,129,199,0
b'S\xc6\xa1n La',317,27,290,0
b'Qu\xe1\xba\xa3ng Ninh',256,55,201,0
b'L\xe1\xba\xa1ng S\xc6\xa1n',253,15,237,1
b'Ninh B\xc3\xacnh',220,13,207,0
b'Th\xc3\xa1i B\xc3\xacnh',186,13,163,0
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',185,108,77,0
b'L\xc3\xa0o Cai',145,18,127,0
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',125,33,92,0
b'Th\xc3\xa1i Nguy\xc3\xaan',79,18,61,0
b'H\xc3\xb2a B\xc3\xacnh',54,4,50,0
b'Tuy\xc3\xaan Quang',43,13,30,0
b'Lai Ch\xc3\xa2u',36,12,24,0
b'Y\xc3\xaan B\xc3\xa1i',22,7,15,0
b'B\xe1\xba\xafc K\xe1\xba\xa1n',11,2,9,0
b'Cao B\xe1\xba\xb1ng',4,4,0,0
