province_name,at_least_one_dose,2_doses
Hà Nội,"6,598,750","5,554,729"
Hồ Chí Minh,"8,005,678","6,708,819"
Thanh Hóa,"2,008,000","728,252"
Nghệ An,"2,024,983","1,393,635"
Đồng Nai,"2,763,659","2,215,271"
Bình Dương,"2,442,311","1,778,998"
An Giang,"1,475,220","1,208,749"
Hải Dương,"1,198,064","777,694"
Đắk Lắk,"1,214,876","563,194"
Thái Bình,"1,126,471","551,063"
Hải Phòng,"1,668,072","1,254,897"
Bắc Giang,"1,318,184","782,769"
Nam Định,"1,105,962","560,047"
Tiền Giang,"1,437,877","1,118,013"
Kiên Giang,"1,277,803","884,235"
Long An,"1,611,012","1,415,525"
Đồng Tháp,"1,086,790","760,156"
Gia Lai,"843,206","431,582"
Quảng Nam,"1,011,534","335,906"
Bình Định,"918,023","515,093"
Phú Thọ,"991,017","684,288"
Bắc Ninh,"1,145,240","817,599"
Quảng Ninh,"1,090,998","916,791"
Lâm Đồng,"964,997","815,113"
Hà Tĩnh,"792,471","425,541"
Bến Tre,"1,021,333","679,489"
Thái Nguyên,"781,607","418,079"
Hưng Yên,"898,633","621,618"
Sơn La,"641,108","230,781"
Cần Thơ,"1,004,518","813,950"
Quảng Ngãi,"797,505","570,993"
Khánh Hòa,"1,041,259","897,592"
Bình Thuận,"876,649","592,571"
Sóc Trăng,"915,786","673,918"
Cà Mau,"861,148","831,779"
Tây Ninh,"941,371","759,234"
Vĩnh Phúc,"769,728","482,355"
Bà Rịa - Vũng Tàu,"1,013,103","816,445"
Đà Nẵng,"954,062","712,475"
Thừa Thiên Huế,"784,346","421,474"
Vĩnh Long,"844,135","706,072"
Trà Vinh,"787,383","423,462"
Bình Phước,"837,374","574,545"
Ninh Bình,"619,250","469,368"
Phú Yên,"590,316","402,138"
Bạc Liêu,"644,021","447,671"
Quảng Bình,"533,115","278,215"
Hà Giang,"469,251","230,128"
Hoà Bình,"516,559","375,841"
Hà Nam,"639,824","544,812"
Yên Bái,"494,070","454,597"
Tuyên Quang,"476,361","197,441"
Lạng Sơn,"544,603","464,116"
Hậu Giang,"603,788","517,361"
Lào Cai,"498,851","396,003"
Quảng Trị,"415,860","321,424"
Đắk Nông,"420,838","323,247"
Điện Biên,"348,876","224,255"
Ninh Thuận,"468,178","346,204"
Kon Tum,"330,010","226,637"
Cao Bằng,"323,378","199,759"
Lai Châu,"291,565","223,094"
Bắc Kạn,"196,394","121,765"
