province_name,at_least_one_dose,2_doses
Hà Nội,"6,120,452","5,017,323"
Hồ Chí Minh,"7,864,803","5,946,101"
Thanh Hóa,"1,319,498","437,976"
Nghệ An,"1,467,020","438,844"
Đồng Nai,"2,623,895","2,118,565"
Bình Dương,"2,371,862","1,712,573"
An Giang,"1,317,615","787,694"
Hải Dương,"1,006,050","480,864"
Đắk Lắk,"1,168,479","132,544"
Thái Bình,"996,375","124,173"
Hải Phòng,"1,514,635","446,479"
Bắc Giang,"1,010,461","486,389"
Nam Định,"754,399","169,909"
Tiền Giang,"1,263,886","606,526"
Kiên Giang,"1,213,887","676,395"
Long An,"1,476,194","1,387,378"
Đồng Tháp,"899,702","674,833"
Gia Lai,"732,947","114,504"
Quảng Nam,"962,741","176,857"
Bình Định,"794,371","316,246"
Phú Thọ,"870,279","164,435"
Bắc Ninh,"1,082,565","649,160"
Quảng Ninh,"1,090,998","916,791"
Lâm Đồng,"936,462","573,495"
Hà Tĩnh,"698,873","261,587"
Bến Tre,"799,300","447,504"
Thái Nguyên,"635,873","100,056"
Hưng Yên,"813,998","307,316"
Sơn La,"378,522","103,415"
Cần Thơ,"893,841","327,524"
Quảng Ngãi,"778,893","131,169"
Khánh Hòa,"939,037","866,359"
Bình Thuận,"767,447","228,625"
Sóc Trăng,"758,833","388,024"
Cà Mau,"854,644","363,626"
Tây Ninh,"882,290","561,862"
Vĩnh Phúc,"755,543","234,262"
Bà Rịa - Vũng Tàu,"943,382","474,921"
Đà Nẵng,"894,419","474,569"
Thừa Thiên Huế,"668,558","130,064"
Vĩnh Long,"833,895","386,855"
Trà Vinh,"505,062","304,125"
Bình Phước,"725,494","451,990"
Ninh Bình,"619,250","450,477"
Phú Yên,"579,475","235,174"
Bạc Liêu,"550,396","350,451"
Quảng Bình,"488,024","82,959"
Hà Giang,"418,863","89,588"
Hoà Bình,"442,862","125,395"
Hà Nam,"568,006","456,809"
Yên Bái,"491,335","328,340"
Tuyên Quang,"388,362","56,893"
Lạng Sơn,"508,157","424,231"
Hậu Giang,"599,369","91,799"
Lào Cai,"423,115","184,586"
Quảng Trị,"407,603","142,811"
Đắk Nông,"395,236","109,150"
Điện Biên,"299,362","91,136"
Ninh Thuận,"415,318","155,961"
Kon Tum,"298,171","52,985"
Cao Bằng,"237,542","132,358"
Lai Châu,"246,471","108,277"
Bắc Kạn,"180,943","60,025"
