Tinh thanh,Ca nhiem,Dang dieu tri,Hoi phuc,Tu vong
b'63 ',1024222,110865,845997,22681
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',438319,34338,387005,16976
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',285291,13719,223959,2513
b'\xc4\x90\xe1\xbb\x93ng Nai',74099,13449,60070,580
b'Long An',35962,1583,33880,509
b'Ti\xe1\xbb\x81n Giang',18278,2606,15260,412
b'An Giang',14516,4827,9524,165
b'T\xc3\xa2y Ninh',13491,2044,11278,169
b'Ki\xc3\xaan Giang',12847,3426,9307,114
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',11496,1944,9336,226
b'Kh\xc3\xa1nh H\xc3\xb2a',9570,764,8714,92
b'C\xe1\xba\xa7n Th\xc6\xa1',8707,1977,6594,136
b'B\xc3\xacnh Thu\xe1\xba\xadn',7344,2685,4790,69
b'S\xc3\xb3c Tr\xc4\x83ng',6637,1708,4873,56
b'B\xe1\xba\xafc Giang',6340,390,5937,13
b'H\xc3\xa0 N\xe1\xbb\x99i',5839,2152,3637,40
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',5833,699,5080,54
b'B\xe1\xba\xa1c Li\xc3\xaau',5680,4102,1525,53
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',5606,206,5295,105
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',5128,2487,2613,28
b'Tr\xc3\xa0 Vinh',3588,1414,2149,25
b'V\xc4\xa9nh Long',3547,902,2597,48
b'C\xc3\xa0 Mau',3239,1553,1670,16
b'Ph\xc3\xba Y\xc3\xaan',3235,85,3111,39
b'B\xe1\xba\xbfn Tre',2939,733,2153,53
b'Ninh Thu\xe1\xba\xadn',2874,786,2052,36
b'Ngh\xe1\xbb\x87 An',2767,443,2314,20
b'B\xe1\xba\xafc Ninh',2590,722,1853,15
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',2323,673,1634,16
b'Gia Lai',2157,1231,921,5
b'Qu\xe1\xba\xa3ng B\xc3\xacnh',2008,31,1971,6
b'B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh',1982,364,1600,18
b'H\xc3\xa0 Giang',1868,1632,336,0
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',1812,305,1496,11
b'H\xe1\xba\xadu Giang',1745,620,1118,7
b'Qu\xe1\xba\xa3ng Nam',1711,293,1406,12
b'Th\xe1\xbb\xaba Thi\xc3\xaan \xe2\x80\x93 Hu\xe1\xba\xbf',1412,402,999,11
b'Thanh H\xc3\xb3a',1376,534,835,7
b'Ph\xc3\xba Th\xe1\xbb\x8d',1225,907,318,0
b'H\xc3\xa0 Nam',1176,459,717,0
b'\xc4\x90\xe1\xba\xafk N\xc3\xb4ng',1160,242,910,8
b'H\xe1\xba\xa3i D\xc6\xb0\xc6\xa1ng',1052,65,986,1
b'L\xc3\xa2m \xc4\x90\xe1\xbb\x93ng',703,245,454,4
b'H\xc3\xa0 T\xc4\xa9nh',617,70,542,5
b'Nam \xc4\x90\xe1\xbb\x8bnh',559,265,294,0
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',522,77,543,2
b'H\xc6\xb0ng Y\xc3\xaan',498,99,397,2
b'V\xc4\xa9nh Ph\xc3\xbac',341,93,245,3
b'Kon Tum',317,127,190,0
b'S\xc6\xa1n La',317,27,290,0
b'Qu\xe1\xba\xa3ng Ninh',256,98,158,0
b'L\xe1\xba\xa1ng S\xc6\xa1n',244,11,232,1
b'Ninh B\xc3\xacnh',215,10,205,0
b'Th\xc3\xa1i B\xc3\xacnh',185,22,163,0
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',179,102,77,0
b'L\xc3\xa0o Cai',145,18,127,0
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',124,38,86,0
b'Th\xc3\xa1i Nguy\xc3\xaan',77,26,51,0
b'H\xc3\xb2a B\xc3\xacnh',53,6,47,0
b'Tuy\xc3\xaan Quang',35,8,28,0
b'Lai Ch\xc3\xa2u',34,13,21,0
b'Y\xc3\xaan B\xc3\xa1i',20,5,15,0
b'B\xe1\xba\xafc K\xe1\xba\xa1n',10,1,9,0
b'Cao B\xe1\xba\xb1ng',2,2,0,0
