province_name,at_least_one_dose,2_doses
Hà Nội,"6,147,567","5,411,666"
Hồ Chí Minh,"7,904,412","6,053,986"
Thanh Hóa,"1,558,665","599,857"
Nghệ An,"1,494,847","1,221,241"
Đồng Nai,"2,708,229","2,202,587"
Bình Dương,"2,372,712","1,747,763"
An Giang,"1,404,169","1,074,537"
Hải Dương,"1,045,829","542,417"
Đắk Lắk,"1,209,601","219,515"
Thái Bình,"1,051,018","265,510"
Hải Phòng,"1,655,501","554,901"
Bắc Giang,"1,079,276","663,349"
Nam Định,"948,870","290,979"
Tiền Giang,"1,351,178","942,378"
Kiên Giang,"1,239,976","727,862"
Long An,"1,537,515","1,400,938"
Đồng Tháp,"1,154,479","699,163"
Gia Lai,"827,024","324,322"
Quảng Nam,"988,241","258,895"
Bình Định,"833,364","358,838"
Phú Thọ,"880,843","458,954"
Bắc Ninh,"1,090,156","786,061"
Quảng Ninh,"1,090,998","916,791"
Lâm Đồng,"938,721","740,436"
Hà Tĩnh,"728,092","339,529"
Bến Tre,"964,348","556,018"
Thái Nguyên,"740,806","250,072"
Hưng Yên,"822,804","515,155"
Sơn La,"469,484","136,733"
Cần Thơ,"901,046","698,301"
Quảng Ngãi,"793,708","170,112"
Khánh Hòa,"978,419","885,774"
Bình Thuận,"828,815","341,128"
Sóc Trăng,"805,184","598,993"
Cà Mau,"857,947","598,852"
Tây Ninh,"931,358","681,211"
Vĩnh Phúc,"769,728","482,355"
Bà Rịa - Vũng Tàu,"996,049","764,025"
Đà Nẵng,"929,825","591,928"
Thừa Thiên Huế,"711,680","233,391"
Vĩnh Long,"839,508","588,478"
Trà Vinh,"553,905","406,355"
Bình Phước,"768,000","491,003"
Ninh Bình,"619,250","450,477"
Phú Yên,"586,783","341,050"
Bạc Liêu,"636,026","370,721"
Quảng Bình,"499,124","161,567"
Hà Giang,"444,830","141,909"
Hoà Bình,"509,870","289,357"
Hà Nam,"610,985","536,594"
Yên Bái,"493,348","438,395"
Tuyên Quang,"436,419","135,062"
Lạng Sơn,"517,558","459,380"
Hậu Giang,"604,253","332,243"
Lào Cai,"436,038","254,939"
Quảng Trị,"411,655","197,452"
Đắk Nông,"395,583","213,224"
Điện Biên,"297,308","90,078"
Ninh Thuận,"421,435","295,179"
Kon Tum,"302,770","106,749"
Cao Bằng,"265,192","158,932"
Lai Châu,"248,807","218,613"
Bắc Kạn,"191,988","91,783"
