Tinh thanh,Ca nhiem,Dang dieu tri,Hoi phuc,Tu vong
b'63/63 ',1073935,125499,886848,23178
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',445696,34944,393548,17204
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',288985,48491,237939,2555
b'\xc4\x90\xe1\xbb\x93ng Nai',78665,14320,64848,597
b'Long An',36644,2232,33880,532
b'Ti\xe1\xbb\x81n Giang',20655,4105,16310,440
b'An Giang',18124,6646,11280,198
b'T\xc3\xa2y Ninh',16603,4032,12380,191
b'Ki\xc3\xaan Giang',14760,3239,11384,137
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',13747,3419,10095,233
b'Kh\xc3\xa1nh H\xc3\xb2a',10519,1569,8857,93
b'C\xe1\xba\xa7n Th\xc6\xa1',9431,1379,7902,150
b'B\xc3\xacnh Thu\xe1\xba\xadn',8931,3591,5561,79
b'S\xc3\xb3c Tr\xc4\x83ng',8133,1357,6717,59
b'B\xe1\xba\xa1c Li\xc3\xaau',7216,3359,3787,70
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',6892,1391,5344,57
b'H\xc3\xa0 N\xe1\xbb\x99i',6728,2797,3890,41
b'B\xe1\xba\xafc Giang',6561,534,6014,13
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',5825,2312,3477,36
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',5756,26,5625,105
b'V\xc4\xa9nh Long',5016,2200,2764,52
b'C\xc3\xa0 Mau',4587,2304,2266,17
b'Tr\xc3\xa0 Vinh',4301,1872,2403,26
b'B\xe1\xba\xbfn Tre',3461,1021,2386,54
b'Ph\xc3\xba Y\xc3\xaan',3332,154,3130,48
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',3230,1317,1897,16
b'Ninh Thu\xe1\xba\xadn',3121,923,2158,40
b'Ngh\xe1\xbb\x87 An',3041,524,2495,22
b'B\xe1\xba\xafc Ninh',2867,299,2553,15
b'Gia Lai',2380,977,1498,5
b'B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh',2352,540,1793,19
b'H\xc3\xa0 Giang',2351,76,2273,2
b'H\xe1\xba\xadu Giang',2200,715,1478,7
b'Qu\xe1\xba\xa3ng B\xc3\xacnh',2119,95,2018,6
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',2053,458,1584,11
b'Qu\xe1\xba\xa3ng Nam',1913,322,1579,12
b'Th\xe1\xbb\xaba Thi\xc3\xaan \xe2\x80\x93 Hu\xe1\xba\xbf',1752,587,1154,11
b'Thanh H\xc3\xb3a',1593,610,975,8
b'Ph\xc3\xba Th\xe1\xbb\x8d',1488,586,902,0
b'\xc4\x90\xe1\xba\xafk N\xc3\xb4ng',1458,516,934,8
b'H\xc3\xa0 Nam',1240,123,1117,0
b'H\xe1\xba\xa3i D\xc6\xb0\xc6\xa1ng',1192,143,1048,1
b'L\xc3\xa2m \xc4\x90\xe1\xbb\x93ng',940,423,513,4
b'Nam \xc4\x90\xe1\xbb\x8bnh',751,87,664,0
b'H\xc3\xa0 T\xc4\xa9nh',737,177,555,5
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',630,120,508,2
b'H\xc6\xb0ng Y\xc3\xaan',582,103,477,2
b'Th\xc3\xa1i B\xc3\xacnh',545,357,188,0
b'Qu\xe1\xba\xa3ng Ninh',373,137,236,0
b'V\xc4\xa9nh Ph\xc3\xbac',366,116,247,3
b'Kon Tum',340,108,232,0
b'S\xc6\xa1n La',327,6,321,0
b'L\xe1\xba\xa1ng S\xc6\xa1n',294,10,283,1
b'Ninh B\xc3\xacnh',254,33,221,0
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',253,96,157,0
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',157,27,130,0
b'L\xc3\xa0o Cai',147,13,134,0
b'Tuy\xc3\xaan Quang',108,38,70,0
b'Th\xc3\xa1i Nguy\xc3\xaan',93,5,88,0
b'H\xc3\xb2a B\xc3\xacnh',58,2,56,0
b'Lai Ch\xc3\xa2u',36,2,34,0
b'Y\xc3\xaan B\xc3\xa1i',26,3,23,0
b'Cao B\xe1\xba\xb1ng',12,12,0,0
b'B\xe1\xba\xafc K\xe1\xba\xa1n',12,1,11,0
