Tinh thanh,Ca nhiem,Dang dieu tri,Hoi phuc,Tu vong
b'63 ',1008139,97886,842657,22526
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',435727,31819,387005,16903
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',283849,13059,223196,2494
b'\xc4\x90\xe1\xbb\x93ng Nai',72207,11979,59662,566
b'Long An',35733,1347,33880,506
b'Ti\xe1\xbb\x81n Giang',17679,2070,15199,410
b'An Giang',13428,4204,9068,156
b'T\xc3\xa2y Ninh',12896,1602,11131,163
b'Ki\xc3\xaan Giang',12193,3128,8958,107
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',10766,1241,9300,225
b'Kh\xc3\xa1nh H\xc3\xb2a',9391,597,8703,91
b'C\xe1\xba\xa7n Th\xc6\xa1',8366,1737,6497,132
b'B\xc3\xacnh Thu\xe1\xba\xadn',6798,1918,4742,68
b'B\xe1\xba\xafc Giang',6253,312,5928,13
b'S\xc3\xb3c Tr\xc4\x83ng',6065,1518,4493,54
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',5553,153,5295,105
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',5530,443,5034,53
b'H\xc3\xa0 N\xe1\xbb\x99i',5460,1774,3637,39
b'B\xe1\xba\xa1c Li\xc3\xaau',5219,3711,1460,48
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',4798,2267,2504,27
b'Tr\xc3\xa0 Vinh',3357,1300,2032,25
b'V\xc4\xa9nh Long',3244,620,2577,47
b'Ph\xc3\xba Y\xc3\xaan',3218,71,3108,39
b'B\xe1\xba\xbfn Tre',2820,632,2135,53
b'Ninh Thu\xe1\xba\xadn',2773,695,2042,36
b'C\xc3\xa0 Mau',2732,1074,1642,16
b'Ngh\xe1\xbb\x87 An',2659,335,2304,20
b'B\xe1\xba\xafc Ninh',2476,608,1853,15
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',2136,487,1634,15
b'Gia Lai',2054,1134,915,5
b'Qu\xe1\xba\xa3ng B\xc3\xacnh',1976,16,1954,6
b'B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh',1867,267,1582,18
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',1759,261,1487,11
b'Qu\xe1\xba\xa3ng Nam',1658,242,1404,12
b'H\xe1\xba\xadu Giang',1633,523,1105,5
b'H\xc3\xa0 Giang',1608,1272,336,0
b'Th\xe1\xbb\xaba Thi\xc3\xaan \xe2\x80\x93 Hu\xe1\xba\xbf',1366,359,996,11
b'Thanh H\xc3\xb3a',1325,488,830,7
b'H\xc3\xa0 Nam',1161,444,717,0
b'Ph\xc3\xba Th\xe1\xbb\x8d',1142,824,318,0
b'\xc4\x90\xe1\xba\xafk N\xc3\xb4ng',1100,182,910,8
b'H\xe1\xba\xa3i D\xc6\xb0\xc6\xa1ng',1037,50,986,1
b'L\xc3\xa2m \xc4\x90\xe1\xbb\x93ng',654,212,449,3
b'H\xc3\xa0 T\xc4\xa9nh',597,50,542,5
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',516,72,542,2
b'Nam \xc4\x90\xe1\xbb\x8bnh',472,178,294,0
b'H\xc6\xb0ng Y\xc3\xaan',463,64,397,2
b'V\xc4\xa9nh Ph\xc3\xbac',317,69,245,3
b'Kon Tum',309,149,160,0
b'S\xc6\xa1n La',304,14,290,0
b'L\xe1\xba\xa1ng S\xc6\xa1n',244,11,232,1
b'Qu\xe1\xba\xa3ng Ninh',239,81,158,0
b'Ninh B\xc3\xacnh',213,8,205,0
b'Th\xc3\xa1i B\xc3\xacnh',177,14,163,0
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',169,92,77,0
b'L\xc3\xa0o Cai',145,18,127,0
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',104,24,80,0
b'Th\xc3\xa1i Nguy\xc3\xaan',61,20,41,0
b'H\xc3\xb2a B\xc3\xacnh',50,3,47,0
b'Tuy\xc3\xaan Quang',31,11,20,0
b'Lai Ch\xc3\xa2u',30,19,11,0
b'Y\xc3\xaan B\xc3\xa1i',20,10,10,0
b'B\xe1\xba\xafc K\xe1\xba\xa1n',10,2,8,0
b'Cao B\xe1\xba\xb1ng',2,2,0,0
