province_name,at_least_one_dose,2_doses
Hà Nội,"6,288,327","5,449,794"
Hồ Chí Minh,"7,910,371","6,287,858"
Thanh Hóa,"1,726,216","751,295"
Nghệ An,"1,584,633","1,375,795"
Đồng Nai,"2,728,352","2,203,336"
Bình Dương,"2,372,712","1,747,763"
An Giang,"1,442,365","1,182,768"
Hải Dương,"1,045,829","542,417"
Đắk Lắk,"1,211,894","357,897"
Thái Bình,"1,081,246","371,837"
Hải Phòng,"1,655,501","554,901"
Bắc Giang,"1,169,810","820,609"
Nam Định,"1,016,409","344,178"
Tiền Giang,"1,405,013","962,805"
Kiên Giang,"1,239,976","727,862"
Long An,"1,539,723","1,405,522"
Đồng Tháp,"1,154,479","699,163"
Gia Lai,"827,024","324,322"
Quảng Nam,"992,992","271,769"
Bình Định,"854,865","376,788"
Phú Thọ,"882,377","513,765"
Bắc Ninh,"1,091,629","788,066"
Quảng Ninh,"1,090,998","916,791"
Lâm Đồng,"938,721","740,436"
Hà Tĩnh,"728,533","373,305"
Bến Tre,"966,094","622,745"
Thái Nguyên,"742,447","311,500"
Hưng Yên,"826,158","572,377"
Sơn La,"501,632","150,442"
Cần Thơ,"933,854","757,013"
Quảng Ngãi,"793,710","267,289"
Khánh Hòa,"978,796","889,568"
Bình Thuận,"835,347","411,764"
Sóc Trăng,"864,327","642,604"
Cà Mau,"857,947","598,852"
Tây Ninh,"936,584","725,652"
Vĩnh Phúc,"769,728","482,355"
Bà Rịa - Vũng Tàu,"998,636","797,355"
Đà Nẵng,"929,831","650,878"
Thừa Thiên Huế,"730,976","303,865"
Vĩnh Long,"839,982","594,748"
Trà Vinh,"689,057","448,934"
Bình Phước,"771,221","526,780"
Ninh Bình,"619,250","450,477"
Phú Yên,"587,045","351,491"
Bạc Liêu,"639,548","376,515"
Quảng Bình,"503,487","182,692"
Hà Giang,"450,166","175,089"
Hoà Bình,"516,559","375,841"
Hà Nam,"629,862","538,541"
Yên Bái,"493,348","438,395"
Tuyên Quang,"436,419","135,062"
Lạng Sơn,"535,504","458,823"
Hậu Giang,"603,401","378,106"
Lào Cai,"441,890","308,293"
Quảng Trị,"411,909","226,164"
Đắk Nông,"395,918","266,227"
Điện Biên,"319,045","132,719"
Ninh Thuận,"423,028","325,714"
Kon Tum,"303,690","135,506"
Cao Bằng,"267,260","163,179"
Lai Châu,"264,445","222,080"
Bắc Kạn,"193,313","102,456"
