Tinh thanh,Ca nhiem,Dang dieu tri,Hoi phuc,Tu vong
b'63 ',1040114,150008,869460,22844
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',440918,33891,389970,17057
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',286461,49039,234894,2528
b'\xc4\x90\xe1\xbb\x93ng Nai',75877,14312,61976,589
b'Long An',36224,1835,33880,519
b'Ti\xe1\xbb\x81n Giang',19091,2955,15717,419
b'An Giang',15561,5392,9995,174
b'T\xc3\xa2y Ninh',14582,2736,11672,174
b'Ki\xc3\xaan Giang',13573,3247,10207,119
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',12122,2333,9562,227
b'Kh\xc3\xa1nh H\xc3\xb2a',9820,954,8763,93
b'C\xe1\xba\xa7n Th\xc6\xa1',8901,1587,7185,139
b'B\xc3\xacnh Thu\xe1\xba\xadn',7868,2837,5159,72
b'S\xc3\xb3c Tr\xc4\x83ng',6935,1399,5479,57
b'B\xe1\xba\xafc Giang',6402,447,5942,13
b'B\xe1\xba\xa1c Li\xc3\xaau',6205,4863,2284,58
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',6109,849,5106,54
b'H\xc3\xa0 N\xe1\xbb\x99i',6073,2304,3729,40
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',5645,45,5495,105
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',5471,2572,2868,31
b'V\xc4\xa9nh Long',3863,1165,2648,50
b'Tr\xc3\xa0 Vinh',3783,1554,2204,25
b'C\xc3\xa0 Mau',3600,1749,1835,16
b'Ph\xc3\xba Y\xc3\xaan',3267,108,3120,39
b'B\xe1\xba\xbfn Tre',3090,801,2235,54
b'Ninh Thu\xe1\xba\xadn',2959,833,2090,36
b'Ngh\xe1\xbb\x87 An',2850,421,2408,21
b'B\xe1\xba\xafc Ninh',2681,513,2153,15
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',2562,817,1729,16
b'Gia Lai',2261,1187,1069,5
b'B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh',2084,438,1627,19
b'H\xc3\xa0 Giang',2059,1611,448,0
b'Qu\xe1\xba\xa3ng B\xc3\xacnh',2036,30,2000,6
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',1911,357,1543,11
b'H\xe1\xba\xadu Giang',1876,666,1203,7
b'Qu\xe1\xba\xa3ng Nam',1757,280,1465,12
b'Th\xe1\xbb\xaba Thi\xc3\xaan \xe2\x80\x93 Hu\xe1\xba\xbf',1459,400,1048,11
b'Thanh H\xc3\xb3a',1458,516,935,7
b'Ph\xc3\xba Th\xe1\xbb\x8d',1331,730,601,0
b'\xc4\x90\xe1\xba\xafk N\xc3\xb4ng',1256,315,933,8
b'H\xc3\xa0 Nam',1184,467,717,0
b'H\xe1\xba\xa3i D\xc6\xb0\xc6\xa1ng',1096,97,998,1
b'L\xc3\xa2m \xc4\x90\xe1\xbb\x93ng',757,291,462,4
b'H\xc3\xa0 T\xc4\xa9nh',670,110,555,5
b'Nam \xc4\x90\xe1\xbb\x8bnh',647,153,494,0
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',551,85,464,2
b'H\xc6\xb0ng Y\xc3\xaan',535,136,397,2
b'V\xc4\xa9nh Ph\xc3\xbac',350,101,246,3
b'Kon Tum',332,123,209,0
b'S\xc6\xa1n La',321,31,290,0
b'Qu\xe1\xba\xa3ng Ninh',280,9,271,0
b'L\xe1\xba\xa1ng S\xc6\xa1n',273,10,262,1
b'Ninh B\xc3\xacnh',224,17,207,0
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',200,193,97,0
b'Th\xc3\xa1i B\xc3\xacnh',186,10,173,0
b'L\xc3\xa0o Cai',145,15,130,0
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',125,27,98,0
b'Th\xc3\xa1i Nguy\xc3\xaan',84,15,69,0
b'H\xc3\xb2a B\xc3\xacnh',55,2,54,0
b'Tuy\xc3\xaan Quang',44,9,35,0
b'Lai Ch\xc3\xa2u',36,8,28,0
b'Y\xc3\xaan B\xc3\xa1i',23,6,17,0
b'B\xe1\xba\xafc K\xe1\xba\xa1n',11,1,10,0
b'Cao B\xe1\xba\xb1ng',4,4,0,0
