Tinh thanh,Ca nhiem,Tu vong,Ca mac moi
b'C\xe1\xba\xa3 n\xc6\xb0\xe1\xbb\x9bc',"887,146","21,807","11,471"
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',"463,056","17,795","1,773"
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',"280,203","2,670",716
b'\xc4\x90\xe1\xbb\x93ng Nai',"85,665",678,567
b'Long An',"37,907",605,109
b'T\xc3\xa2y Ninh',"32,241",250,672
b'Ti\xe1\xbb\x81n Giang',"23,858",516,121
b'An Giang',"22,282",340,324
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',"19,279",262,604
b'Ki\xc3\xaan Giang',"18,453",203,418
b'B\xc3\xacnh Thu\xe1\xba\xadn',"14,302",108,496
b'C\xe1\xba\xa7n Th\xc6\xa1',"13,946",194,897
b'S\xc3\xb3c Tr\xc4\x83ng',"12,546",91,493
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',"12,400",63,653
b'Kh\xc3\xa1nh H\xc3\xb2a',"12,360",96,216
b'B\xe1\xba\xa1c Li\xc3\xaau',"11,770",107,566
b'H\xc3\xa0 N\xe1\xbb\x99i',"9,354",43,253
b'V\xc4\xa9nh Long',"9,140",77,536
b'C\xc3\xa0 Mau',"7,609",35,374
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',"7,091",40,181
b'B\xe1\xba\xafc Giang',"6,979",14,16
b'Tr\xc3\xa0 Vinh',"6,975",35,309
b'B\xe1\xba\xbfn Tre',"6,300",61,501
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',"6,275",105,92
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',"5,973",18,271
b'B\xe1\xba\xafc Ninh',"4,218",15,153
b'Ngh\xe1\xbb\x87 An',"4,102",27,117
b'H\xe1\xba\xadu Giang',"4,080",11,238
b'H\xc3\xa0 Giang',"3,692",3,143
b'Ph\xc3\xba Y\xc3\xaan',"3,590",39,30
b'Ninh Thu\xe1\xba\xadn',"3,589",45,31
b'B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh',"3,464",20,132
b'Gia Lai',"2,970",8,21
b'Th\xe1\xbb\xaba Thi\xc3\xaan Hu\xe1\xba\xbf',"2,868",11,113
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',"2,581",14,80
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',"2,581",14,80
b'Qu\xe1\xba\xa3ng B\xc3\xacnh',"2,434",6,28
b'Thanh H\xc3\xb3a',"2,189",11,55
b'\xc4\x90\xe1\xba\xafk N\xc3\xb4ng',"2,100",8,92
b'L\xc3\xa2m \xc4\x90\xe1\xbb\x93ng',"1,960",7,112
b'Ph\xc3\xba Th\xe1\xbb\x8d',"1,766",0,38
b'H\xe1\xba\xa3i D\xc6\xb0\xc6\xa1ng',"1,457",1,8
b'H\xc3\xa0 Nam',"1,435",0,10
b'Nam \xc4\x90\xe1\xbb\x8bnh',"1,339",0,38
b'Th\xc3\xa1i B\xc3\xacnh',"1,217",0,25
b'V\xc4\xa9nh Ph\xc3\xbac',988,3,62
b'H\xc3\xa0 T\xc4\xa9nh',961,5,19
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',910,3,57
b'H\xc6\xb0ng Y\xc3\xaan',734,2,47
b'Qu\xe1\xba\xa3ng Ninh',723,0,25
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',440,0,4
b'Tuy\xc3\xaan Quang',413,0,28
b'L\xe1\xba\xa1ng S\xc6\xa1n',397,1,44
b'Kon Tum',380,0,6
b'S\xc6\xa1n La',361,0,0
b'Ninh B\xc3\xacnh',327,0,18
b'Ho\xc3\xa0 B\xc3\xacnh',256,0,4
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',235,0,4
b'Th\xc3\xa1i Nguy\xc3\xaan',155,0,22
b'Cao B\xe1\xba\xb1ng',110,0,7
b'Y\xc3\xaan B\xc3\xa1i',38,0,1
b'Lai Ch\xc3\xa2u',37,0,0
b'B\xe1\xba\xafc K\xe1\xba\xa1n',14,0,0
