province_name,at_least_one_dose,2_doses
Hà Nội,"6,134,815","5,309,895"
Hồ Chí Minh,"7,893,158","5,999,876"
Thanh Hóa,"1,395,704","599,857"
Nghệ An,"1,494,847","547,790"
Đồng Nai,"2,661,014","2,181,764"
Bình Dương,"2,372,712","1,747,763"
An Giang,"1,341,281","953,431"
Hải Dương,"1,029,621","529,794"
Đắk Lắk,"1,186,832","139,827"
Thái Bình,"1,015,664","184,058"
Hải Phòng,"1,655,501","554,901"
Bắc Giang,"1,049,441","567,409"
Nam Định,"819,467","227,678"
Tiền Giang,"1,291,235","782,134"
Kiên Giang,"1,239,976","727,862"
Long An,"1,478,141","1,393,823"
Đồng Tháp,"1,154,479","699,163"
Gia Lai,"771,515","124,397"
Quảng Nam,"979,160","231,479"
Bình Định,"807,156","332,019"
Phú Thọ,"877,836","265,467"
Bắc Ninh,"1,086,244","692,932"
Quảng Ninh,"1,090,998","916,791"
Lâm Đồng,"936,888","576,881"
Hà Tĩnh,"726,786","275,101"
Bến Tre,"930,699","484,137"
Thái Nguyên,"691,016","130,794"
Hưng Yên,"822,804","404,887"
Sơn La,"432,935","121,823"
Cần Thơ,"897,726","359,576"
Quảng Ngãi,"790,601","146,565"
Khánh Hòa,"974,657","874,744"
Bình Thuận,"802,906","262,765"
Sóc Trăng,"805,184","598,993"
Cà Mau,"854,644","363,626"
Tây Ninh,"924,701","591,278"
Vĩnh Phúc,"757,835","302,051"
Bà Rịa - Vũng Tàu,"992,357","618,446"
Đà Nẵng,"895,304","559,642"
Thừa Thiên Huế,"677,231","157,353"
Vĩnh Long,"836,725","459,121"
Trà Vinh,"602,228","389,560"
Bình Phước,"735,324","484,635"
Ninh Bình,"619,250","450,477"
Phú Yên,"582,567","272,808"
Bạc Liêu,"570,910","366,205"
Quảng Bình,"497,113","126,453"
Hà Giang,"431,002","125,348"
Hoà Bình,"460,544","227,301"
Hà Nam,"577,086","514,500"
Yên Bái,"491,792","367,150"
Tuyên Quang,"425,084","75,270"
Lạng Sơn,"508,736","449,937"
Hậu Giang,"599,369","91,799"
Lào Cai,"428,991","188,238"
Quảng Trị,"410,317","168,363"
Đắk Nông,"395,488","143,947"
Điện Biên,"297,308","90,078"
Ninh Thuận,"420,149","197,191"
Kon Tum,"300,500","76,044"
Cao Bằng,"247,467","154,526"
Lai Châu,"247,223","138,365"
Bắc Kạn,"182,081","64,235"
