province_name,at_least_one_dose,2_doses
Hà Nội,"6,536,107","5,532,280"
Hồ Chí Minh,"8,002,293","6,634,059"
Thanh Hóa,"1,911,420","728,252"
Nghệ An,"2,024,983","1,393,635"
Đồng Nai,"2,763,659","2,213,471"
Bình Dương,"2,391,502","1,749,494"
An Giang,"1,477,548","1,207,339"
Hải Dương,"1,108,595","618,421"
Đắk Lắk,"1,214,395","498,918"
Thái Bình,"1,085,759","487,245"
Hải Phòng,"1,682,936","805,586"
Bắc Giang,"1,216,350","820,609"
Nam Định,"1,102,097","523,051"
Tiền Giang,"1,444,986","1,081,701"
Kiên Giang,"1,277,803","884,235"
Long An,"1,598,410","1,408,351"
Đồng Tháp,"1,191,575","760,156"
Gia Lai,"827,024","324,322"
Quảng Nam,"1,006,024","323,802"
Bình Định,"908,143","461,297"
Phú Thọ,"949,722","648,046"
Bắc Ninh,"1,138,765","805,059"
Quảng Ninh,"1,090,998","916,791"
Lâm Đồng,"973,344","815,113"
Hà Tĩnh,"749,654","400,626"
Bến Tre,"980,721","663,196"
Thái Nguyên,"742,447","364,670"
Hưng Yên,"826,158","572,377"
Sơn La,"603,504","202,574"
Cần Thơ,"1,003,776","802,639"
Quảng Ngãi,"795,538","468,734"
Khánh Hòa,"1,039,801","896,242"
Bình Thuận,"865,515","546,621"
Sóc Trăng,"909,780","642,604"
Cà Mau,"870,115","678,502"
Tây Ninh,"957,842","750,585"
Vĩnh Phúc,"769,728","482,355"
Bà Rịa - Vũng Tàu,"1,012,183","807,018"
Đà Nẵng,"953,429","711,027"
Thừa Thiên Huế,"743,112","399,400"
Vĩnh Long,"851,796","677,169"
Trà Vinh,"751,232","413,065"
Bình Phước,"786,500","573,860"
Ninh Bình,"619,250","469,368"
Phú Yên,"589,916","386,029"
Bạc Liêu,"651,781","411,038"
Quảng Bình,"520,393","230,429"
Hà Giang,"469,251","230,128"
Hoà Bình,"516,559","375,841"
Hà Nam,"638,956","539,604"
Yên Bái,"494,070","454,597"
Tuyên Quang,"469,348","201,330"
Lạng Sơn,"543,622","462,097"
Hậu Giang,"610,107","477,849"
Lào Cai,"486,794","390,761"
Quảng Trị,"413,680","306,703"
Đắk Nông,"408,203","320,122"
Điện Biên,"319,045","132,719"
Ninh Thuận,"456,894","339,801"
Kon Tum,"313,613","212,892"
Cao Bằng,"312,828","193,722"
Lai Châu,"272,933","222,956"
Bắc Kạn,"195,036","113,776"
