Tinh thanh,Ca nhiem,Dang dieu tri,Hoi phuc,Tu vong
b'63/63 ',1057388,114892,880663,23013
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',443546,35430,390979,17137
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',287746,8828,236377,2541
b'\xc4\x90\xe1\xbb\x93ng Nai',77433,14357,63583,593
b'Long An',36413,2088,33880,525
b'Ti\xe1\xbb\x81n Giang',20081,3548,16104,429
b'An Giang',16769,5920,10477,182
b'T\xc3\xa2y Ninh',15692,3559,11948,185
b'Ki\xc3\xaan Giang',14157,3372,10662,123
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',12964,2965,9769,230
b'Kh\xc3\xa1nh H\xc3\xb2a',10199,1286,8820,93
b'C\xe1\xba\xa7n Th\xc6\xa1',9160,1411,7605,144
b'B\xc3\xacnh Thu\xe1\xba\xadn',8220,3083,5360,77
b'S\xc3\xb3c Tr\xc4\x83ng',7529,1446,6024,59
b'B\xe1\xba\xa1c Li\xc3\xaau',6645,3510,3069,66
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',6510,1154,5201,55
b'B\xe1\xba\xafc Giang',6482,496,5973,13
b'H\xc3\xa0 N\xe1\xbb\x99i',6401,2624,3737,40
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',5705,85,5515,105
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',5597,2550,3013,34
b'V\xc4\xa9nh Long',4439,1689,2699,51
b'C\xc3\xa0 Mau',4129,2079,2033,17
b'Tr\xc3\xa0 Vinh',3988,1620,2342,26
b'Ph\xc3\xba Y\xc3\xaan',3292,125,3128,39
b'B\xe1\xba\xbfn Tre',3273,911,2308,54
b'Ninh Thu\xe1\xba\xadn',3045,881,2128,36
b'Ngh\xe1\xbb\x87 An',2997,528,2447,22
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',2859,1045,1798,16
b'B\xe1\xba\xafc Ninh',2765,397,2353,15
b'Gia Lai',2319,1059,1255,5
b'B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh',2267,500,1748,19
b'H\xc3\xa0 Giang',2178,922,1255,1
b'Qu\xe1\xba\xa3ng B\xc3\xacnh',2078,61,2011,6
b'H\xe1\xba\xadu Giang',2044,665,1372,7
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',1983,404,1558,11
b'Qu\xe1\xba\xa3ng Nam',1829,291,1526,12
b'Th\xe1\xbb\xaba Thi\xc3\xaan \xe2\x80\x93 Hu\xe1\xba\xbf',1578,465,1102,11
b'Thanh H\xc3\xb3a',1555,577,970,8
b'Ph\xc3\xba Th\xe1\xbb\x8d',1425,723,702,0
b'\xc4\x90\xe1\xba\xafk N\xc3\xb4ng',1355,414,933,8
b'H\xc3\xa0 Nam',1200,283,917,0
b'H\xe1\xba\xa3i D\xc6\xb0\xc6\xa1ng',1147,118,1028,1
b'L\xc3\xa2m \xc4\x90\xe1\xbb\x93ng',872,358,510,4
b'H\xc3\xa0 T\xc4\xa9nh',712,152,555,5
b'Nam \xc4\x90\xe1\xbb\x8bnh',705,61,644,0
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',595,85,508,2
b'H\xc6\xb0ng Y\xc3\xaan',560,101,457,2
b'V\xc4\xa9nh Ph\xc3\xbac',358,108,247,3
b'Kon Tum',336,110,226,0
b'S\xc6\xa1n La',327,36,291,0
b'Th\xc3\xa1i B\xc3\xacnh',319,131,188,0
b'Qu\xe1\xba\xa3ng Ninh',316,90,226,0
b'L\xe1\xba\xa1ng S\xc6\xa1n',276,5,270,1
b'Ninh B\xc3\xacnh',228,7,221,0
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',222,95,127,0
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',152,34,118,0
b'L\xc3\xa0o Cai',147,14,133,0
b'Th\xc3\xa1i Nguy\xc3\xaan',88,10,78,0
b'H\xc3\xb2a B\xc3\xacnh',57,2,55,0
b'Tuy\xc3\xaan Quang',46,6,40,0
b'Lai Ch\xc3\xa2u',36,5,31,0
b'Y\xc3\xaan B\xc3\xa1i',23,4,19,0
b'B\xe1\xba\xafc K\xe1\xba\xa1n',11,1,10,0
b'Cao B\xe1\xba\xb1ng',8,8,0,0
