Tinh thanh,Ca nhiem,Dang dieu tri,Hoi phuc,Tu vong
b'63 ',1049087,157742,869421,22925
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',442306,35237,389970,17099
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',287115,49688,234894,2533
b'\xc4\x90\xe1\xbb\x93ng Nai',76690,15124,61976,590
b'Long An',36334,1941,33880,523
b'Ti\xe1\xbb\x81n Giang',19725,3584,15717,424
b'An Giang',16222,6051,9995,176
b'T\xc3\xa2y Ninh',15099,3250,11672,177
b'Ki\xc3\xaan Giang',13976,3646,10207,123
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',12505,2715,9562,228
b'Kh\xc3\xa1nh H\xc3\xb2a',9990,1124,8763,93
b'C\xe1\xba\xa7n Th\xc6\xa1',9079,1764,7185,140
b'B\xc3\xacnh Thu\xe1\xba\xadn',8155,2924,5159,72
b'S\xc3\xb3c Tr\xc4\x83ng',7233,1697,5479,57
b'B\xe1\xba\xa1c Li\xc3\xaau',6457,4111,2284,62
b'B\xe1\xba\xafc Giang',6444,489,5942,13
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',6286,1025,5106,55
b'H\xc3\xa0 N\xe1\xbb\x99i',6249,2480,3729,40
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',5679,79,5495,105
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',5471,2569,2868,34
b'V\xc4\xa9nh Long',4147,1453,2648,50
b'Tr\xc3\xa0 Vinh',3868,1638,2204,26
b'C\xc3\xa0 Mau',3858,2006,1835,17
b'Ph\xc3\xba Y\xc3\xaan',3275,116,3120,39
b'B\xe1\xba\xbfn Tre',3174,885,2235,54
b'Ninh Thu\xe1\xba\xadn',3006,880,2090,36
b'Ngh\xe1\xbb\x87 An',2897,467,2408,22
b'B\xe1\xba\xafc Ninh',2730,562,2153,15
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',2661,916,1729,16
b'Gia Lai',2284,1210,1069,5
b'B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh',2141,495,1627,19
b'H\xc3\xa0 Giang',2121,1672,448,1
b'Qu\xe1\xba\xa3ng B\xc3\xacnh',2069,63,2000,6
b'H\xe1\xba\xadu Giang',1977,767,1203,7
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',1949,395,1543,11
b'Qu\xe1\xba\xa3ng Nam',1802,325,1465,12
b'Th\xe1\xbb\xaba Thi\xc3\xaan \xe2\x80\x93 Hu\xe1\xba\xbf',1503,444,1048,11
b'Thanh H\xc3\xb3a',1495,552,935,8
b'Ph\xc3\xba Th\xe1\xbb\x8d',1365,764,601,0
b'\xc4\x90\xe1\xba\xafk N\xc3\xb4ng',1316,375,933,8
b'H\xc3\xa0 Nam',1195,478,717,0
b'H\xe1\xba\xa3i D\xc6\xb0\xc6\xa1ng',1126,127,998,1
b'L\xc3\xa2m \xc4\x90\xe1\xbb\x93ng',811,345,462,4
b'H\xc3\xa0 T\xc4\xa9nh',688,128,555,5
b'Nam \xc4\x90\xe1\xbb\x8bnh',674,180,494,0
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',580,101,477,2
b'H\xc6\xb0ng Y\xc3\xaan',553,154,397,2
b'V\xc4\xa9nh Ph\xc3\xbac',353,104,246,3
b'Kon Tum',334,125,209,0
b'S\xc6\xa1n La',326,36,290,0
b'Qu\xe1\xba\xa3ng Ninh',303,83,220,0
b'L\xe1\xba\xa1ng S\xc6\xa1n',276,13,262,1
b'Th\xc3\xa1i B\xc3\xacnh',240,64,173,0
b'Ninh B\xc3\xacnh',224,17,207,0
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',202,195,97,0
b'L\xc3\xa0o Cai',145,15,130,0
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',141,43,98,0
b'Th\xc3\xa1i Nguy\xc3\xaan',86,17,69,0
b'H\xc3\xb2a B\xc3\xacnh',57,4,53,0
b'Tuy\xc3\xaan Quang',46,11,35,0
b'Lai Ch\xc3\xa2u',36,8,28,0
b'Y\xc3\xaan B\xc3\xa1i',23,6,17,0
b'B\xe1\xba\xafc K\xe1\xba\xa1n',11,1,10,0
b'Cao B\xe1\xba\xb1ng',4,4,0,0
