province_name,at_least_one_dose,2_doses
Hà Nội,"6,113,425","4,729,868"
Hồ Chí Minh,"7,851,354","5,908,759"
Thanh Hóa,"1,319,498","297,723"
Nghệ An,"1,467,020","438,844"
Đồng Nai,"2,616,036","2,048,465"
Bình Dương,"2,371,862","1,712,573"
An Giang,"1,309,186","664,998"
Hải Dương,"1,006,050","480,864"
Đắk Lắk,"1,126,263","131,653"
Thái Bình,"977,819","124,173"
Hải Phòng,"1,514,635","446,479"
Bắc Giang,"1,010,461","486,389"
Nam Định,"740,724","150,642"
Tiền Giang,"1,259,640","523,445"
Kiên Giang,"1,153,593","565,893"
Long An,"1,475,650","1,385,693"
Đồng Tháp,"837,474","636,572"
Gia Lai,"732,947","114,504"
Quảng Nam,"949,622","162,913"
Bình Định,"789,450","294,582"
Phú Thọ,"862,884","132,951"
Bắc Ninh,"1,081,110","647,831"
Quảng Ninh,"1,090,998","901,213"
Lâm Đồng,"933,508","543,519"
Hà Tĩnh,"695,671","261,587"
Bến Tre,"778,603","442,494"
Thái Nguyên,"635,873","100,056"
Hưng Yên,"802,770","305,720"
Sơn La,"360,428","100,855"
Cần Thơ,"892,492","321,419"
Quảng Ngãi,"776,650","124,430"
Khánh Hòa,"938,006","854,202"
Bình Thuận,"751,812","220,808"
Sóc Trăng,"756,550","267,155"
Cà Mau,"854,644","363,626"
Tây Ninh,"880,340","553,202"
Vĩnh Phúc,"755,543","234,262"
Bà Rịa - Vũng Tàu,"942,985","466,958"
Đà Nẵng,"894,374","413,670"
Thừa Thiên Huế,"661,523","106,961"
Vĩnh Long,"833,643","331,093"
Trà Vinh,"505,062","304,125"
Bình Phước,"716,747","413,632"
Ninh Bình,"619,250","450,477"
Phú Yên,"577,094","201,653"
Bạc Liêu,"548,805","337,558"
Quảng Bình,"481,712","80,201"
Hà Giang,"415,847","87,013"
Hoà Bình,"442,862","125,395"
Hà Nam,"568,006","456,809"
Yên Bái,"491,335","328,340"
Tuyên Quang,"388,362","56,893"
Lạng Sơn,"507,999","418,594"
Hậu Giang,"599,369","91,799"
Lào Cai,"422,892","178,978"
Quảng Trị,"407,199","131,875"
Đắk Nông,"395,919","79,928"
Điện Biên,"299,362","91,136"
Ninh Thuận,"413,028","144,124"
Kon Tum,"294,340","52,985"
Cao Bằng,"233,255","125,602"
Lai Châu,"245,295","98,726"
Bắc Kạn,"175,661","49,571"
