Tinh thanh,Ca nhiem,Dang dieu tri,Hoi phuc,Tu vong
b'63/63 ',1084218,160739,901506,23265
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',446879,35144,394496,17239
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',289592,48280,238740,2562
b'\xc4\x90\xe1\xbb\x93ng Nai',79296,14154,65640,602
b'Long An',36744,1742,34464,538
b'Ti\xe1\xbb\x81n Giang',21326,4489,16595,442
b'An Giang',18606,6838,11567,201
b'T\xc3\xa2y Ninh',17286,4594,12498,194
b'Ki\xc3\xaan Giang',15084,2841,12104,139
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',14139,3608,10295,236
b'Kh\xc3\xa1nh H\xc3\xb2a',10669,1692,8883,94
b'B\xc3\xacnh Thu\xe1\xba\xadn',9979,4101,5796,82
b'C\xe1\xba\xa7n Th\xc6\xa1',9589,1279,8160,150
b'S\xc3\xb3c Tr\xc4\x83ng',8476,1553,6862,61
b'B\xe1\xba\xa1c Li\xc3\xaau',7544,3341,4127,76
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',7192,1559,5476,57
b'H\xc3\xa0 N\xe1\xbb\x99i',6886,2955,3890,41
b'B\xe1\xba\xafc Giang',6621,540,6068,13
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',5913,2129,3748,36
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',5790,50,5635,105
b'V\xc4\xa9nh Long',5307,2454,2800,53
b'C\xc3\xa0 Mau',4927,2499,2406,22
b'Tr\xc3\xa0 Vinh',4495,2066,2403,26
b'B\xe1\xba\xbfn Tre',3646,1166,2425,55
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',3429,1445,1968,16
b'Ph\xc3\xba Y\xc3\xaan',3343,168,3136,39
b'Ngh\xe1\xbb\x87 An',3186,635,2529,22
b'Ninh Thu\xe1\xba\xadn',3156,938,2178,40
b'B\xe1\xba\xafc Ninh',2948,280,2653,15
b'H\xc3\xa0 Giang',2473,188,2283,2
b'Gia Lai',2430,1027,1498,6
b'B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh',2400,588,1793,19
b'H\xe1\xba\xadu Giang',2296,811,1478,8
b'Qu\xe1\xba\xa3ng B\xc3\xacnh',2137,101,2030,6
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',2094,487,1596,11
b'Qu\xe1\xba\xa3ng Nam',1974,326,1636,12
b'Th\xe1\xbb\xaba Thi\xc3\xaan \xe2\x80\x93 Hu\xe1\xba\xbf',1822,601,1210,11
b'Thanh H\xc3\xb3a',1645,634,1003,8
b'\xc4\x90\xe1\xba\xafk N\xc3\xb4ng',1502,497,997,8
b'Ph\xc3\xba Th\xe1\xbb\x8d',1502,500,1002,0
b'H\xc3\xa0 Nam',1247,120,1127,0
b'H\xe1\xba\xa3i D\xc6\xb0\xc6\xa1ng',1221,162,1058,1
b'L\xc3\xa2m \xc4\x90\xe1\xbb\x93ng',1024,499,521,4
b'Nam \xc4\x90\xe1\xbb\x8bnh',824,150,674,0
b'H\xc3\xa0 T\xc4\xa9nh',744,184,555,5
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',652,142,508,2
b'Th\xc3\xa1i B\xc3\xacnh',651,463,188,0
b'H\xc6\xb0ng Y\xc3\xaan',591,102,487,2
b'Qu\xe1\xba\xa3ng Ninh',388,126,262,0
b'V\xc4\xa9nh Ph\xc3\xbac',377,115,259,3
b'Kon Tum',343,106,237,0
b'S\xc6\xa1n La',328,7,321,0
b'L\xe1\xba\xa1ng S\xc6\xa1n',303,10,292,1
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',261,94,167,0
b'Ninh B\xc3\xacnh',254,33,221,0
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',157,21,136,0
b'L\xc3\xa0o Cai',149,13,136,0
b'Tuy\xc3\xaan Quang',135,60,75,0
b'Th\xc3\xa1i Nguy\xc3\xaan',95,7,88,0
b'H\xc3\xb2a B\xc3\xacnh',60,2,58,0
b'Lai Ch\xc3\xa2u',36,2,34,0
b'Y\xc3\xaan B\xc3\xa1i',27,4,23,0
b'Cao B\xe1\xba\xb1ng',16,16,0,0
b'B\xe1\xba\xafc K\xe1\xba\xa1n',12,1,11,0
