province_name,at_least_one_dose,2_doses
Hà Nội,"6,142,013","5,372,747"
Hồ Chí Minh,"7,903,684","6,044,189"
Thanh Hóa,"1,395,704","599,857"
Nghệ An,"1,494,847","919,522"
Đồng Nai,"2,695,932","2,195,354"
Bình Dương,"2,372,712","1,747,763"
An Giang,"1,394,431","1,048,284"
Hải Dương,"1,045,683","540,735"
Đắk Lắk,"1,207,529","193,718"
Thái Bình,"1,051,018","265,510"
Hải Phòng,"1,655,501","554,901"
Bắc Giang,"1,079,276","663,349"
Nam Định,"819,467","227,678"
Tiền Giang,"1,331,005","930,732"
Kiên Giang,"1,239,976","727,862"
Long An,"1,529,730","1,396,453"
Đồng Tháp,"1,154,479","699,163"
Gia Lai,"814,429","166,598"
Quảng Nam,"985,173","252,463"
Bình Định,"831,166","358,326"
Phú Thọ,"880,089","385,702"
Bắc Ninh,"1,088,951","765,856"
Quảng Ninh,"1,090,998","916,791"
Lâm Đồng,"938,721","740,436"
Hà Tĩnh,"728,092","288,405"
Bến Tre,"961,795","543,454"
Thái Nguyên,"726,511","171,786"
Hưng Yên,"822,804","485,920"
Sơn La,"462,150","131,134"
Cần Thơ,"900,534","571,310"
Quảng Ngãi,"793,708","170,112"
Khánh Hòa,"978,354","884,154"
Bình Thuận,"826,622","319,337"
Sóc Trăng,"805,184","598,993"
Cà Mau,"857,947","598,852"
Tây Ninh,"929,308","670,202"
Vĩnh Phúc,"758,378","339,784"
Bà Rịa - Vũng Tàu,"994,775","684,488"
Đà Nẵng,"928,482","589,642"
Thừa Thiên Huế,"692,168","185,283"
Vĩnh Long,"838,730","582,080"
Trà Vinh,"604,948","395,560"
Bình Phước,"765,739","490,977"
Ninh Bình,"619,250","450,477"
Phú Yên,"585,807","304,305"
Bạc Liêu,"627,604","368,437"
Quảng Bình,"499,103","159,416"
Hà Giang,"443,260","137,100"
Hoà Bình,"509,870","289,357"
Hà Nam,"597,377","527,410"
Yên Bái,"492,360","391,573"
Tuyên Quang,"436,419","135,062"
Lạng Sơn,"512,979","458,441"
Hậu Giang,"604,253","300,882"
Lào Cai,"436,038","254,939"
Quảng Trị,"411,629","196,130"
Đắk Nông,"395,536","190,516"
Điện Biên,"297,308","90,078"
Ninh Thuận,"420,995","272,619"
Kon Tum,"302,463","96,371"
Cao Bằng,"264,345","156,921"
Lai Châu,"248,464","211,688"
Bắc Kạn,"191,872","90,445"
