province_name,at_least_one_dose,2_doses
Hà Nội,"6,124,189","5,192,404"
Hồ Chí Minh,"7,892,201","5,969,572"
Thanh Hóa,"1,319,498","516,806"
Nghệ An,"1,470,330","547,790"
Đồng Nai,"2,635,387","2,158,118"
Bình Dương,"2,371,862","1,712,573"
An Giang,"1,321,281","893,161"
Hải Dương,"1,029,621","529,794"
Đắk Lắk,"1,183,546","132,957"
Thái Bình,"1,003,037","140,806"
Hải Phòng,"1,629,409","448,632"
Bắc Giang,"1,010,461","486,389"
Nam Định,"754,399","169,909"
Tiền Giang,"1,285,932","660,711"
Kiên Giang,"1,213,887","676,395"
Long An,"1,477,973","1,392,946"
Đồng Tháp,"917,741","674,833"
Gia Lai,"771,515","124,397"
Quảng Nam,"976,265","222,803"
Bình Định,"797,425","321,077"
Phú Thọ,"875,639","219,444"
Bắc Ninh,"1,084,411","657,697"
Quảng Ninh,"1,090,998","916,791"
Lâm Đồng,"936,888","576,881"
Hà Tĩnh,"716,866","269,162"
Bến Tre,"922,572","451,412"
Thái Nguyên,"667,577","109,520"
Hưng Yên,"822,804","372,717"
Sơn La,"397,353","110,769"
Cần Thơ,"896,005","338,206"
Quảng Ngãi,"786,962","146,326"
Khánh Hòa,"963,522","869,150"
Bình Thuận,"783,570","240,738"
Sóc Trăng,"778,808","430,982"
Cà Mau,"854,644","363,626"
Tây Ninh,"922,790","568,950"
Vĩnh Phúc,"757,835","302,051"
Bà Rịa - Vũng Tàu,"991,154","576,765"
Đà Nẵng,"894,471","502,596"
Thừa Thiên Huế,"670,093","137,847"
Vĩnh Long,"834,006","429,022"
Trà Vinh,"505,062","304,125"
Bình Phước,"732,246","456,483"
Ninh Bình,"619,250","450,477"
Phú Yên,"582,567","272,808"
Bạc Liêu,"554,718","358,829"
Quảng Bình,"495,388","102,006"
Hà Giang,"418,863","89,588"
Hoà Bình,"449,327","159,084"
Hà Nam,"568,452","480,113"
Yên Bái,"491,490","339,772"
Tuyên Quang,"425,084","75,270"
Lạng Sơn,"508,530","444,466"
Hậu Giang,"599,369","91,799"
Lào Cai,"425,214","186,782"
Quảng Trị,"407,799","152,041"
Đắk Nông,"395,467","141,830"
Điện Biên,"299,362","91,136"
Ninh Thuận,"417,881","181,053"
Kon Tum,"299,009","59,541"
Cao Bằng,"240,893","150,800"
Lai Châu,"247,009","119,415"
Bắc Kạn,"181,484","61,832"
