Tinh thanh,Ca nhiem,Dang dieu tri,Hoi phuc,Tu vong
Tinh thanh,Ca nhiem,Dang dieu tri,Hoi phuc,Tu vong
b'63/63 ',1094065,162059,908675,23332
b'TP. H\xe1\xbb\x93 Ch\xc3\xad Minh',448216,35617,395334,17265
b'B\xc3\xacnh D\xc6\xb0\xc6\xa1ng',290193,47325,240294,2574
b'\xc4\x90\xe1\xbb\x93ng Nai',79960,13159,66199,602
b'Long An',36897,1744,34611,542
b'Ti\xe1\xbb\x81n Giang',21852,4609,16801,442
b'An Giang',19133,6857,12068,208
b'T\xc3\xa2y Ninh',17662,4947,12517,198
b'Ki\xc3\xaan Giang',15480,2933,12408,139
b'\xc4\x90\xe1\xbb\x93ng Th\xc3\xa1p',14628,3850,10541,237
b'Kh\xc3\xa1nh H\xc3\xb2a',10813,1815,8904,94
b'B\xc3\xacnh Thu\xe1\xba\xadn',10468,4469,5915,84
b'C\xe1\xba\xa7n Th\xc6\xa1',9734,1227,8354,153
b'S\xc3\xb3c Tr\xc4\x83ng',8840,1570,7206,64
b'B\xe1\xba\xa1c Li\xc3\xaau',7867,3331,4458,78
b'B\xc3\xa0 R\xe1\xbb\x8ba - V\xc5\xa9ng T\xc3\xa0u',7620,1920,5642,58
b'H\xc3\xa0 N\xe1\xbb\x99i',7104,2993,4069,42
b'B\xe1\xba\xafc Giang',6700,551,6136,13
b'\xc4\x90\xe1\xba\xafk L\xe1\xba\xafk',6101,2233,3832,36
b'\xc4\x90\xc3\xa0 N\xe1\xba\xb5ng',5827,77,5645,105
b'V\xc4\xa9nh Long',5597,2676,2867,54
b'C\xc3\xa0 Mau',5160,2639,2499,22
b'Tr\xc3\xa0 Vinh',4647,2139,2482,26
b'B\xe1\xba\xbfn Tre',3826,1274,2497,55
b'B\xc3\xacnh Ph\xc6\xb0\xe1\xbb\x9bc',3646,1596,2034,16
b'Ph\xc3\xba Y\xc3\xaan',3356,174,3143,39
b'Ngh\xe1\xbb\x87 An',3263,639,2602,22
b'Ninh Thu\xe1\xba\xadn',3190,910,2240,40
b'B\xe1\xba\xafc Ninh',3055,287,2753,15
b'H\xc3\xa0 Giang',2607,222,2383,2
b'B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh',2487,636,1832,19
b'Gia Lai',2430,924,1500,6
b'H\xe1\xba\xadu Giang',2390,905,1478,8
b'Qu\xe1\xba\xa3ng B\xc3\xacnh',2166,114,2046,6
b'Qu\xe1\xba\xa3ng Ng\xc3\xa3i',2138,503,1624,11
b'Qu\xe1\xba\xa3ng Nam',2044,344,1688,12
b'Th\xe1\xbb\xaba Thi\xc3\xaan \xe2\x80\x93 Hu\xe1\xba\xbf',1918,664,1243,11
b'Thanh H\xc3\xb3a',1674,631,1035,8
b'\xc4\x90\xe1\xba\xafk N\xc3\xb4ng',1534,513,1013,8
b'Ph\xc3\xba Th\xe1\xbb\x8d',1519,484,1035,0
b'H\xe1\xba\xa3i D\xc6\xb0\xc6\xa1ng',1302,137,1164,1
b'H\xc3\xa0 Nam',1265,128,1137,0
b'L\xc3\xa2m \xc4\x90\xe1\xbb\x93ng',1024,494,526,4
b'Nam \xc4\x90\xe1\xbb\x8bnh',875,191,684,0
b'H\xc3\xa0 T\xc4\xa9nh',758,198,555,5
b'Th\xc3\xa1i B\xc3\xacnh',711,523,188,0
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',667,136,529,2
b'H\xc6\xb0ng Y\xc3\xaan',603,104,497,2
b'Qu\xe1\xba\xa3ng Ninh',467,104,363,0
b'V\xc4\xa9nh Ph\xc3\xbac',388,125,260,3
b'Kon Tum',350,101,249,0
b'S\xc6\xa1n La',328,7,321,0
b'L\xe1\xba\xa1ng S\xc6\xa1n',303,5,297,1
b'Ninh B\xc3\xacnh',273,49,224,0
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',264,87,177,0
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',164,22,142,0
b'Tuy\xc3\xaan Quang',160,85,75,0
b'L\xc3\xa0o Cai',150,14,136,0
b'Th\xc3\xa1i Nguy\xc3\xaan',98,10,88,0
b'H\xc3\xb2a B\xc3\xacnh',66,4,62,0
b'Lai Ch\xc3\xa2u',36,0,36,0
b'Cao B\xe1\xba\xb1ng',32,32,0,0
b'Y\xc3\xaan B\xc3\xa1i',27,2,25,0
b'B\xe1\xba\xafc K\xe1\xba\xa1n',12,0,12,0
Tinh thanh,Ca nhiem,Dang dieu tri,Hoi phuc,Tu vong
Tinh thanh,Ca nhiem,Dang dieu tri,Hoi phuc,Tu vong
