province_name,at_least_one_dose,2_doses
Hà Nội,"6,110,898","4,600,750"
Hồ Chí Minh,"7,848,380","5,894,955"
Thanh Hóa,"1,319,498","297,723"
Nghệ An,"1,467,020","397,554"
Đồng Nai,"2,612,108","2,018,141"
Bình Dương,"2,371,862","1,712,573"
An Giang,"1,302,315","552,930"
Hải Dương,"1,002,211","472,852"
Đắk Lắk,"1,102,363","131,348"
Thái Bình,"906,250","123,939"
Hải Phòng,"1,513,084","446,476"
Bắc Giang,"1,010,461","486,389"
Nam Định,"723,340","141,386"
Tiền Giang,"1,256,274","496,397"
Kiên Giang,"1,153,593","565,893"
Long An,"1,475,230","1,383,868"
Đồng Tháp,"837,474","636,572"
Gia Lai,"684,844","91,492"
Quảng Nam,"940,149","152,466"
Bình Định,"781,211","289,027"
Phú Thọ,"862,884","132,951"
Bắc Ninh,"1,075,628","646,668"
Quảng Ninh,"1,090,998","901,213"
Lâm Đồng,"933,256","535,031"
Hà Tĩnh,"690,286","257,498"
Bến Tre,"771,351","434,829"
Thái Nguyên,"608,998","99,228"
Hưng Yên,"800,527","302,796"
Sơn La,"350,919","98,704"
Cần Thơ,"892,257","319,048"
Quảng Ngãi,"775,698","123,188"
Khánh Hòa,"937,084","852,715"
Bình Thuận,"734,468","212,318"
Sóc Trăng,"756,070","192,742"
Cà Mau,"846,065","264,738"
Tây Ninh,"880,340","548,780"
Vĩnh Phúc,"755,543","234,262"
Bà Rịa - Vũng Tàu,"942,363","453,737"
Đà Nẵng,"894,176","401,613"
Thừa Thiên Huế,"646,995","96,692"
Vĩnh Long,"833,332","258,516"
Trà Vinh,"505,062","304,125"
Bình Phước,"670,636","440,946"
Ninh Bình,"619,250","450,477"
Phú Yên,"571,802","184,570"
Bạc Liêu,"547,174","295,220"
Quảng Bình,"475,854","77,341"
Hà Giang,"411,078","81,893"
Hoà Bình,"441,872","99,297"
Hà Nam,"568,006","456,809"
Yên Bái,"487,751","311,322"
Tuyên Quang,"388,362","56,893"
Lạng Sơn,"507,510","409,886"
Hậu Giang,"599,369","91,799"
Lào Cai,"422,755","176,480"
Quảng Trị,"406,859","124,310"
Đắk Nông,"395,919","76,740"
Điện Biên,"299,362","91,136"
Ninh Thuận,"412,397","137,498"
Kon Tum,"291,988","52,985"
Cao Bằng,"224,965","125,294"
Lai Châu,"241,451","83,421"
Bắc Kạn,"175,661","49,571"
