Tinh thanh,Ca nhiem,Tu vong,Ca mac moi,Tong luot tiem chung,Mui 1,Ti le mui 1,Mui 2,Ti le mui 2,So lieu phan phoi,Dan so,So lieu tren 100 nguoi
b'Nam \xc4\x90\xe1\xbb\x8bnh',"1,611",1,52,"1,666,009","1,105,962",6212,"560,047",3146,"1,648,880","1,780,393",9358
b'H\xc3\xa0 Nam',"1,497",0,11,"1,184,636","639,824",7503,"544,812",6389,"1,172,570","852,800",13891
b'Th\xc3\xa1i B\xc3\xacnh',"1,347",0,30,"1,677,534","1,126,471",6055,"551,063",2962,"1,847,180","1,860,447",9017
b'V\xc4\xa9nh Ph\xc3\xbac',"1,265",3,26,"1,252,083","769,728",6669,"482,355",4179,"1,409,600","1,154,154",10848
b'H\xc3\xa0 T\xc4\xa9nh',"1,160",5,31,"1,218,012","792,471",6149,"425,541",3302,"1,185,050","1,288,866",945
b'Qu\xe1\xba\xa3ng Tr\xe1\xbb\x8b',"1,052",3,17,"737,284","415,860",6576,"321,424",5083,"813,082","632,375",11659
b'H\xc6\xb0ng Y\xc3\xaan',918,2,67,"1,520,251","898,633",7173,"621,618",4962,"1,645,622","1,252,731",12135
b'Qu\xe1\xba\xa3ng Ninh',882,0,23,"2,007,789","1,090,998",8263,"916,791",6944,"2,078,208","1,320,324",15207
b'H\xe1\xba\xa3i Ph\xc3\xb2ng',736,0,141,"2,922,969","1,668,072",908,"1,254,897",6831,"2,708,900","1,837,173",1591
b'Tuy\xc3\xaan Quang',578,0,29,"673,802","476,361",607,"197,441",2516,"860,410","784,811",8586
b'L\xe1\xba\xa1ng S\xc6\xa1n',490,2,21,"1,008,719","544,603",6967,"464,116",5938,"1,093,820","781,655",12905
b'\xc4\x90i\xe1\xbb\x87n Bi\xc3\xaan',482,0,8,"573,131","348,876",5826,"224,255",3745,"594,360","598,856",957
b'Ho\xc3\xa0 B\xc3\xacnh',471,0,18,"892,400","516,559",6048,"375,841",44,"1,011,020","854,131",10448
b'Th\xc3\xa1i Nguy\xc3\xaan',450,0,79,"1,199,686","781,607",6074,"418,079",3249,"1,224,530","1,286,751",9323
b'Kon Tum',412,0,15,"556,647","330,010",6106,"226,637",4194,"597,800","540,438",103
b'S\xc6\xa1n La',370,0,2,"871,889","641,108",5135,"230,781",1849,"1,147,180","1,248,415",6984
b'Ninh B\xc3\xacnh',343,0,0,"1,088,618","619,250",6303,"469,368",4777,"1,210,720","982,487",1108
b'L\xc3\xa0o Cai',189,0,4,"894,854","498,851",683,"396,003",5422,"892,600","730,420",12251
b'Cao B\xe1\xba\xb1ng',165,0,15,"523,137","323,378",6098,"199,759",3767,"527,060","530,341",9864
b'Y\xc3\xaan B\xc3\xa1i',128,0,22,"948,667","494,070",6018,"454,597",5537,"1,007,390","821,030",11555
b'Lai Ch\xc3\xa2u',37,0,0,"514,659","291,565",6336,"223,094",4848,"494,440","460,196",11183
b'B\xe1\xba\xafc K\xe1\xba\xa1n',22,0,0,"318,159","196,394",6256,"121,765",3879,"331,470","313,905",10136
