province_name,at_least_one_dose,2_doses
Hà Nội,"6,123,134","5,111,276"
Hồ Chí Minh,"7,867,012","5,955,962"
Thanh Hóa,"1,319,498","437,976"
Nghệ An,"1,470,330","497,821"
Đồng Nai,"2,632,865","2,146,536"
Bình Dương,"2,371,862","1,712,573"
An Giang,"1,320,204","843,977"
Hải Dương,"1,006,050","480,864"
Đắk Lắk,"1,180,154","132,692"
Thái Bình,"999,792","124,467"
Hải Phòng,"1,514,635","446,479"
Bắc Giang,"1,010,461","486,389"
Nam Định,"754,399","169,909"
Tiền Giang,"1,285,077","637,408"
Kiên Giang,"1,213,887","676,395"
Long An,"1,477,328","1,389,095"
Đồng Tháp,"899,702","674,833"
Gia Lai,"771,515","124,397"
Quảng Nam,"969,595","216,776"
Bình Định,"795,707","320,888"
Phú Thọ,"873,010","194,601"
Bắc Ninh,"1,084,252","656,752"
Quảng Ninh,"1,090,998","916,791"
Lâm Đồng,"936,888","576,881"
Hà Tĩnh,"702,970","262,342"
Bến Tre,"813,496","448,854"
Thái Nguyên,"667,577","109,520"
Hưng Yên,"820,865","348,604"
Sơn La,"387,871","106,374"
Cần Thơ,"894,375","329,572"
Quảng Ngãi,"778,893","131,169"
Khánh Hòa,"939,647","868,865"
Bình Thuận,"773,930","234,847"
Sóc Trăng,"760,160","428,952"
Cà Mau,"854,644","363,626"
Tây Ninh,"894,223","565,409"
Vĩnh Phúc,"757,835","302,051"
Bà Rịa - Vũng Tàu,"986,583","492,255"
Đà Nẵng,"894,419","479,769"
Thừa Thiên Huế,"668,558","130,064"
Vĩnh Long,"833,922","429,022"
Trà Vinh,"505,062","304,125"
Bình Phước,"729,527","454,969"
Ninh Bình,"619,250","450,477"
Phú Yên,"581,579","261,101"
Bạc Liêu,"551,074","354,265"
Quảng Bình,"492,277","92,953"
Hà Giang,"418,863","89,588"
Hoà Bình,"449,327","159,084"
Hà Nam,"568,243","462,079"
Yên Bái,"491,490","339,772"
Tuyên Quang,"425,084","75,270"
Lạng Sơn,"508,350","436,472"
Hậu Giang,"599,369","91,799"
Lào Cai,"423,365","185,782"
Quảng Trị,"407,711","146,231"
Đắk Nông,"395,384","127,339"
Điện Biên,"299,362","91,136"
Ninh Thuận,"416,153","161,291"
Kon Tum,"298,429","55,557"
Cao Bằng,"238,306","145,649"
Lai Châu,"246,804","113,593"
Bắc Kạn,"180,943","60,025"
